,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,30.9,22.8,21.54,0.4,7.6
1,2018-01-02,32.3,22.3,24.95,1.8,10.0
2,2018-01-03,30.1,23.3,18.19,14.7,18.2
3,2018-01-04,29.9,22.5,20.71,4.3,11.9
4,2018-01-05,27.0,22.8,8.67,10.6,9.0
5,2018-01-06,28.6,22.3,13.06,4.0,8.9
6,2018-01-07,28.1,21.2,19.5,3.8,10.3
7,2018-01-08,29.7,21.9,23.58,2.3,9.2
8,2018-01-09,29.9,20.8,23.77,0.0,11.9
9,2018-01-10,30.2,21.0,25.09,1.3,16.3
10,2018-01-11,29.4,21.4,24.53,0.1,13.8
11,2018-01-12,31.6,20.5,25.46,0.6,15.2
12,2018-01-13,30.9,21.0,26.61,2.1,9.8
13,2018-01-14,30.0,21.1,22.75,3.2,12.5
14,2018-01-15,29.5,21.6,19.07,7.3,8.0
15,2018-01-16,30.9,21.0,23.47,1.2,8.6
16,2018-01-17,31.4,21.5,27.81,0.0,11.6
17,2018-01-18,30.7,23.6,23.64,0.0,12.2
18,2018-01-19,31.3,22.7,24.63,0.0,13.1
19,2018-01-20,31.6,22.4,23.78,0.0,11.8
20,2018-01-21,32.0,23.0,24.86,0.0,7.8
21,2018-01-22,33.2,22.0,24.8,0.0,9.0
22,2018-01-23,33.7,20.8,28.81,0.0,6.0
23,2018-01-24,32.7,22.8,27.16,0.2,9.5
24,2018-01-25,31.5,22.3,20.98,1.2,6.6
25,2018-01-26,29.9,22.5,20.52,6.6,8.9
26,2018-01-27,30.2,21.5,21.66,0.8,8.7
27,2018-01-28,30.2,22.3,20.86,6.7,11.2
28,2018-01-29,29.0,22.6,18.26,17.6,10.1
29,2018-01-30,30.4,22.0,16.45,5.6,11.3
30,2018-01-31,30.3,23.0,18.49,11.4,12.5
31,2018-02-01,28.0,22.7,12.2,23.2,12.0
32,2018-02-02,29.4,22.7,14.35,15.2,14.0
33,2018-02-03,27.1,22.5,7.71,53.6,10.7
34,2018-02-04,24.7,21.7,4.44,60.4,9.5
35,2018-02-05,28.1,20.4,16.18,3.9,12.6
36,2018-02-06,28.2,21.5,12.83,8.9,13.5
37,2018-02-07,29.6,21.5,19.59,1.4,10.2
38,2018-02-08,30.1,21.1,21.99,1.4,8.9
39,2018-02-09,30.9,21.6,24.18,3.4,12.6
40,2018-02-10,29.8,22.2,16.96,2.2,9.2
41,2018-02-11,30.5,21.3,21.84,0.1,6.0
