,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,29.8,23.5,23.95,4.2,11.6
1,2018-01-02,30.7,22.1,25.01,18.6,9.5
2,2018-01-03,23.8,21.4,6.87,24.0,8.4
3,2018-01-04,27.5,20.7,12.86,1.9,10.3
4,2018-01-05,28.6,22.0,17.72,3.5,14.5
5,2018-01-06,25.3,21.8,6.23,16.0,8.4
6,2018-01-07,26.8,20.8,11.83,18.6,12.1
7,2018-01-08,25.9,20.8,13.31,27.1,12.6
8,2018-01-09,25.3,20.4,10.36,8.4,15.5
9,2018-01-10,29.3,20.7,23.14,1.7,11.2
10,2018-01-11,29.3,20.6,23.01,10.9,7.8
11,2018-01-12,27.2,20.1,18.02,8.1,6.6
12,2018-01-13,28.6,21.4,20.24,3.2,11.6
13,2018-01-14,29.0,21.9,22.41,2.3,8.2
14,2018-01-15,29.1,21.0,24.83,0.7,6.3
15,2018-01-16,29.3,21.7,25.14,0.4,7.9
16,2018-01-17,29.9,21.5,24.97,0.4,6.9
17,2018-01-18,29.8,22.1,24.17,4.2,5.5
18,2018-01-19,31.1,21.8,24.24,0.0,10.8
19,2018-01-20,31.2,21.7,25.5,0.0,6.9
20,2018-01-21,31.2,22.3,26.25,0.1,9.0
21,2018-01-22,31.1,22.8,24.38,0.6,6.7
22,2018-01-23,30.4,22.8,23.52,2.8,8.3
23,2018-01-24,31.6,22.3,26.16,0.4,7.6
24,2018-01-25,29.7,22.1,22.79,12.1,9.0
25,2018-01-26,28.7,21.5,22.72,3.8,6.8
26,2018-01-27,26.9,21.1,11.82,21.5,8.0
27,2018-01-28,26.3,21.6,11.92,8.2,12.6
28,2018-01-29,27.8,21.2,15.36,8.7,11.4
29,2018-01-30,27.9,22.1,15.9,9.8,9.2
30,2018-01-31,28.9,22.1,18.43,18.0,10.2
31,2018-02-01,26.8,22.4,14.76,16.7,5.5
32,2018-02-02,27.1,22.0,12.18,14.2,9.4
33,2018-02-03,27.2,21.8,6.28,89.2,7.1
34,2018-02-04,29.4,21.2,21.65,3.4,12.1
35,2018-02-05,29.9,21.2,23.53,4.1,7.4
36,2018-02-06,29.6,21.8,23.81,1.7,10.8
37,2018-02-07,29.1,22.3,23.0,5.3,14.8
38,2018-02-08,28.3,21.6,20.86,9.3,11.9
39,2018-02-09,29.6,22.6,23.19,10.2,10.9
40,2018-02-10,25.9,22.1,8.69,22.2,10.9
41,2018-02-11,25.3,21.6,10.13,20.7,9.7
42,2018-02-12,26.8,21.6,17.99,11.1,9.7
43,2018-02-13,29.5,21.3,21.94,7.1,8.6
44,2018-02-14,29.4,21.1,19.81,7.8,7.3
45,2018-02-15,29.3,21.5,22.91,3.7,8.8
