,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,28.8,22.1,18.44,1.0,13.4
1,2018-01-02,30.4,23.7,19.72,9.0,15.3
2,2018-01-03,26.4,22.8,23.58,7.3,11.8
3,2018-01-04,29.1,21.2,28.75,0.0,12.5
4,2018-01-05,28.4,22.5,28.64,0.0,15.4
5,2018-01-06,30.7,22.2,27.23,9.2,17.1
6,2018-01-07,23.6,21.6,13.6,2.0,17.3
7,2018-01-08,24.8,21.0,19.59,0.1,14.8
8,2018-01-09,24.2,21.3,6.26,13.5,10.9
9,2018-01-10,23.7,22.2,4.51,36.0,8.3
10,2018-01-11,26.3,22.2,8.73,17.2,6.3
11,2018-01-12,27.7,22.4,23.41,7.1,8.0
12,2018-01-13,27.9,21.8,22.47,9.1,8.5
13,2018-01-14,30.4,22.7,22.69,0.5,14.0
14,2018-01-15,30.3,25.0,15.27,0.0,18.0
15,2018-01-16,26.4,23.6,10.91,31.2,10.0
16,2018-01-17,27.3,23.3,17.11,26.7,10.5
17,2018-01-18,31.9,24.0,25.77,5.5,16.7
18,2018-01-19,25.5,23.3,11.07,4.0,13.3
19,2018-01-20,26.3,20.9,25.42,0.0,12.4
20,2018-01-21,25.7,23.0,12.1,9.1,13.1
21,2018-01-22,29.7,23.8,18.2,5.1,10.7
22,2018-01-23,32.3,24.2,25.01,3.1,11.6
23,2018-01-24,31.0,24.6,23.84,14.1,10.0
24,2018-01-25,27.3,23.2,20.35,0.3,18.6
25,2018-01-26,24.3,22.7,11.54,0.1,15.6
26,2018-01-27,25.5,21.9,15.67,0.4,13.0
27,2018-01-28,27.1,22.5,17.35,1.3,12.9
28,2018-01-29,27.7,22.3,19.49,3.1,14.5
29,2018-01-30,26.2,20.7,26.32,0.0,16.5
30,2018-01-31,25.9,22.2,23.16,2.0,15.0
31,2018-02-01,25.3,21.5,20.11,1.2,12.4
32,2018-02-02,27.5,19.3,26.72,0.0,11.7
33,2018-02-03,26.8,19.5,24.15,0.1,17.6
34,2018-02-04,25.1,21.2,17.71,0.1,13.8
35,2018-02-05,25.5,19.8,21.97,2.7,8.6
36,2018-02-06,26.4,21.0,24.67,0.2,10.8
37,2018-02-07,27.5,22.3,24.35,5.3,9.0
38,2018-02-08,27.8,20.8,24.24,1.9,12.3
39,2018-02-09,30.2,24.2,22.98,0.4,13.0
40,2018-02-10,30.9,24.2,22.52,19.7,9.2
41,2018-02-11,27.3,23.8,15.68,47.1,10.2
42,2018-02-12,24.3,21.5,10.3,6.5,16.0
43,2018-02-13,24.0,20.9,14.55,0.0,15.0
44,2018-02-14,24.6,21.0,18.29,0.0,11.4
45,2018-02-15,24.5,19.7,10.94,0.0,10.0
46,2018-02-16,25.7,18.8,17.95,0.0,8.2
47,2018-02-17,26.0,20.7,19.88,0.5,8.6
48,2018-02-18,26.9,20.9,19.81,1.0,12.7
49,2018-02-19,26.5,22.7,11.56,14.3,10.8
50,2018-02-20,29.6,23.2,20.13,9.9,16.1
51,2018-02-21,27.1,23.5,18.74,5.9,9.8
52,2018-02-22,25.6,22.0,23.17,2.1,11.5
53,2018-02-23,25.9,21.1,22.2,0.9,13.4
54,2018-02-24,25.0,20.2,18.94,2.7,10.8
55,2018-02-25,26.4,20.2,21.69,3.3,9.4
56,2018-02-26,27.4,20.7,23.12,2.4,8.2
57,2018-02-27,28.4,21.2,22.59,0.6,9.3
58,2018-02-28,28.2,22.9,16.1,4.5,6.5
59,2018-03-01,28.4,23.3,21.24,2.7,12.2
60,2018-03-02,27.2,23.8,11.43,18.7,10.0
61,2018-03-03,27.4,22.6,18.96,1.9,10.7
62,2018-03-04,26.1,22.4,10.54,15.9,7.3
63,2018-03-05,28.8,21.2,20.94,1.8,7.2
64,2018-03-06,28.8,21.9,20.93,2.6,10.7
65,2018-03-07,24.3,22.2,13.82,0.3,14.0
66,2018-03-08,24.9,20.6,17.6,0.0,9.4
67,2018-03-09,26.4,19.8,16.29,0.0,11.5
68,2018-03-10,27.3,22.8,16.54,3.4,13.1
69,2018-03-11,30.7,23.4,23.59,0.0,8.8
70,2018-03-12,24.8,21.9,13.53,5.4,11.8
71,2018-03-13,25.8,20.4,16.83,0.1,13.5
72,2018-03-14,28.2,23.7,10.55,10.1,9.4
73,2018-03-15,30.0,24.0,12.93,0.0,16.9
74,2018-03-16,26.1,22.2,20.25,0.2,12.8
75,2018-03-17,27.5,21.3,14.55,0.1,13.0
76,2018-03-18,28.5,23.6,15.85,1.0,16.2
77,2018-03-19,30.4,22.3,18.95,8.6,15.0
78,2018-03-20,23.3,21.6,7.05,8.5,8.7
79,2018-03-21,24.4,21.3,11.42,1.7,11.9
80,2018-03-22,24.4,20.5,13.87,0.3,10.7
81,2018-03-23,27.7,22.4,17.68,0.3,13.1
82,2018-03-24,28.6,24.3,17.16,1.6,14.5
83,2018-03-25,29.9,22.2,15.41,8.7,14.0
84,2018-03-26,22.5,21.0,4.23,16.3,14.5
85,2018-03-27,24.6,20.9,6.18,13.0,7.6
86,2018-03-28,25.1,21.1,8.2,6.6,5.9
87,2018-03-29,25.6,21.1,6.88,12.0,4.7
88,2018-03-30,26.2,21.2,12.88,3.8,9.4
89,2018-03-31,26.1,22.1,11.22,25.8,7.7
90,2018-04-01,28.8,22.0,17.67,3.3,11.9
91,2018-04-02,28.7,23.0,18.85,0.0,14.8
92,2018-04-03,26.2,22.1,18.44,2.4,6.9
93,2018-04-04,24.6,20.6,16.37,4.4,6.9
94,2018-04-05,24.9,19.5,15.33,10.8,6.2
95,2018-04-06,24.6,20.1,15.46,1.1,7.6
96,2018-04-07,27.0,19.6,18.22,0.4,10.0
97,2018-04-08,28.1,21.3,20.25,0.0,8.5
98,2018-04-09,26.5,20.5,16.97,1.6,9.7
99,2018-04-10,26.9,21.4,16.79,1.7,11.5
100,2018-04-11,27.4,22.1,19.61,0.0,12.1
101,2018-04-12,28.1,20.7,20.31,0.0,10.0
102,2018-04-13,27.7,20.9,17.14,1.2,19.0
103,2018-04-14,23.0,21.4,11.84,6.4,16.9
104,2018-04-15,23.4,20.7,7.62,4.3,12.5
105,2018-04-16,24.1,19.9,13.39,1.0,13.2
106,2018-04-17,24.0,19.3,14.51,1.7,10.5
107,2018-04-18,24.9,19.2,14.37,0.2,9.3
108,2018-04-19,26.8,19.5,18.51,0.0,8.7
109,2018-04-20,27.8,18.9,17.78,0.0,7.1
110,2018-04-21,27.6,19.5,16.97,0.0,9.5
111,2018-04-22,26.2,20.5,17.23,0.0,10.8
112,2018-04-23,26.7,20.3,17.16,0.0,10.4
113,2018-04-24,27.1,20.8,17.82,0.0,7.6
114,2018-04-25,26.9,20.5,17.68,0.0,9.2
115,2018-04-26,26.8,19.7,16.66,0.0,9.7
116,2018-04-27,26.9,21.4,11.05,0.3,12.4
117,2018-04-28,28.3,22.2,13.95,0.0,8.9
118,2018-04-29,27.6,20.6,15.65,0.0,11.5
119,2018-04-30,29.8,21.9,15.71,0.7,11.2
120,2018-05-01,24.3,21.6,6.75,3.3,8.4
121,2018-05-02,23.5,21.5,4.7,0.6,9.9
122,2018-05-03,25.8,22.2,10.1,2.1,9.4
123,2018-05-04,28.4,22.2,14.51,0.0,8.3
124,2018-05-05,26.8,21.8,12.08,1.5,7.4
125,2018-05-06,24.9,21.3,11.01,3.0,9.5
126,2018-05-07,23.9,20.9,10.09,1.1,9.7
127,2018-05-08,23.2,19.4,9.46,1.7,13.0
128,2018-05-09,24.0,19.6,9.76,0.9,14.2
129,2018-05-10,24.8,20.1,12.23,0.0,15.9
130,2018-05-11,25.8,19.7,12.72,0.0,12.4
131,2018-05-12,24.1,19.3,14.94,0.0,10.8
132,2018-05-13,22.4,18.6,11.11,0.1,8.0
133,2018-05-14,23.3,17.4,8.82,0.8,14.8
134,2018-05-15,26.7,19.3,14.72,3.5,10.0
135,2018-05-16,23.3,19.2,12.62,1.1,11.3
136,2018-05-17,20.9,18.2,6.38,0.2,8.0
137,2018-05-18,24.4,19.1,8.75,1.4,12.8
138,2018-05-19,20.7,16.3,5.41,26.5,15.5
139,2018-05-20,20.7,14.3,15.75,1.0,19.7
140,2018-05-21,20.0,11.9,15.26,0.0,8.9
141,2018-05-22,19.9,11.8,14.62,0.0,7.0
142,2018-05-23,19.0,13.5,13.85,0.0,8.2
143,2018-05-24,19.4,12.5,9.48,0.1,7.9
144,2018-05-25,19.4,14.4,5.21,0.0,5.9
145,2018-05-26,21.4,17.0,9.19,0.6,11.2
146,2018-05-27,23.4,17.6,10.61,0.0,10.5
147,2018-05-28,23.4,17.8,12.36,0.0,11.9
148,2018-05-29,23.0,18.6,11.07,1.0,12.3
149,2018-05-30,23.3,17.8,12.61,0.6,11.6
150,2018-05-31,23.7,17.2,13.18,0.0,8.0
151,2018-06-01,24.4,17.6,10.91,0.0,10.0
152,2018-06-02,19.9,16.3,3.45,4.0,8.9
153,2018-06-03,18.4,14.4,13.1,0.4,9.4
154,2018-06-04,19.2,14.6,7.0,2.3,7.5
155,2018-06-05,19.6,16.5,4.51,11.9,10.1
156,2018-06-06,19.0,13.7,13.97,0.0,12.7
157,2018-06-07,18.1,12.5,4.86,0.0,9.1
158,2018-06-08,18.4,9.7,14.42,0.0,10.9
159,2018-06-09,19.8,10.7,13.91,0.0,9.8
160,2018-06-10,21.7,14.9,9.47,0.2,10.2
161,2018-06-11,23.7,17.5,7.78,0.0,10.6
162,2018-06-12,24.1,19.6,5.39,2.7,9.4
163,2018-06-13,19.9,15.4,11.81,0.7,10.4
164,2018-06-14,15.2,13.4,9.01,1.7,6.8
165,2018-06-15,14.5,12.4,3.65,0.6,7.1
166,2018-06-16,14.0,11.9,3.46,0.0,6.8
167,2018-06-17,16.3,13.2,4.77,0.0,6.3
168,2018-06-18,19.1,12.4,6.65,0.0,7.2
169,2018-06-19,21.4,15.4,8.35,0.4,10.9
170,2018-06-20,22.6,13.8,13.24,0.0,7.3
171,2018-06-21,24.4,12.6,12.84,0.0,9.4
172,2018-06-22,18.3,15.4,9.73,0.0,10.5
173,2018-06-23,22.5,15.1,11.85,0.0,9.6
174,2018-06-24,17.4,15.2,9.07,0.2,10.5
175,2018-06-25,21.8,15.3,10.22,0.0,11.5
176,2018-06-26,17.1,15.9,3.92,9.6,7.6
177,2018-06-27,21.0,15.6,7.71,6.6,8.4
178,2018-06-28,22.5,15.2,9.82,0.0,7.3
179,2018-06-29,21.8,17.6,8.54,0.7,7.9
180,2018-06-30,20.5,16.3,8.49,2.4,8.9
181,2018-07-01,22.4,14.6,9.46,0.0,12.1
182,2018-07-02,24.5,16.5,12.06,0.1,9.0
183,2018-07-03,18.8,12.6,4.15,1.3,11.6
184,2018-07-04,15.2,11.5,3.02,2.4,7.9
185,2018-07-05,19.3,12.5,12.42,0.0,9.4
186,2018-07-06,18.4,15.0,4.94,0.0,7.7
187,2018-07-07,23.0,15.9,11.04,0.0,12.2
188,2018-07-08,20.5,16.2,10.31,0.2,7.2
189,2018-07-09,20.1,14.4,10.38,0.0,10.7
190,2018-07-10,16.2,12.9,10.92,0.0,18.7
191,2018-07-11,17.5,12.1,13.19,0.0,9.9
192,2018-07-12,18.3,10.6,13.96,0.0,8.6
193,2018-07-13,19.1,10.8,14.28,0.0,7.7
194,2018-07-14,21.8,11.0,13.89,0.0,9.0
195,2018-07-15,25.6,14.1,13.64,0.0,7.4
196,2018-07-16,22.1,16.6,12.35,0.0,14.8
197,2018-07-17,21.4,17.8,5.7,0.5,8.1
198,2018-07-18,23.3,16.8,12.71,0.0,8.7
199,2018-07-19,23.8,15.7,13.23,0.0,7.6
200,2018-07-20,25.3,16.9,14.04,0.0,10.7
201,2018-07-21,18.6,13.8,11.05,0.0,10.0
202,2018-07-22,18.4,12.5,9.0,0.0,12.3
203,2018-07-23,22.2,15.3,13.15,0.0,9.0
