,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,29.9,23.1,20.27,1.0,10.8
1,2018-01-02,30.0,23.5,19.02,4.5,9.0
2,2018-01-03,27.8,23.9,15.23,12.5,10.9
3,2018-01-04,27.4,23.0,14.76,6.4,8.8
4,2018-01-05,28.9,23.4,17.68,2.3,11.3
5,2018-01-06,30.4,23.6,21.73,2.2,13.7
6,2018-01-07,26.6,24.0,10.03,14.4,8.5
7,2018-01-08,27.3,23.4,12.61,10.2,8.2
8,2018-01-09,27.9,23.1,13.91,0.9,12.7
9,2018-01-10,29.5,23.3,16.3,2.7,10.2
10,2018-01-11,27.4,23.8,15.98,5.5,10.7
11,2018-01-12,28.2,23.2,16.24,8.7,13.3
12,2018-01-13,28.6,23.5,15.21,11.3,10.6
13,2018-01-14,29.3,23.0,15.45,4.6,10.8
14,2018-01-15,26.5,23.0,11.73,12.2,15.3
15,2018-01-16,28.3,22.6,12.48,13.7,12.4
16,2018-01-17,26.5,22.7,7.5,11.9,5.8
17,2018-01-18,27.5,23.1,11.84,19.9,9.6
18,2018-01-19,28.1,22.5,15.59,1.2,8.9
19,2018-01-20,29.0,22.9,20.42,3.9,9.5
20,2018-01-21,28.5,23.4,18.22,8.3,10.4
21,2018-01-22,29.3,22.9,17.61,6.1,12.3
22,2018-01-23,27.0,23.4,11.23,0.8,7.0
23,2018-01-24,27.5,23.0,13.77,10.5,10.5
24,2018-01-25,27.9,22.7,14.76,11.8,8.4
25,2018-01-26,28.7,22.8,16.9,14.3,8.8
26,2018-01-27,27.8,23.4,10.75,14.4,10.2
27,2018-01-28,29.7,23.7,14.34,10.0,8.6
28,2018-01-29,29.7,24.0,18.73,0.1,12.5
29,2018-01-30,30.6,24.4,20.24,0.0,12.5
30,2018-01-31,26.5,24.6,7.92,26.4,13.3
31,2018-02-01,25.2,24.0,3.47,56.3,7.3
32,2018-02-02,24.8,23.1,3.36,31.0,7.6
33,2018-02-03,28.3,22.8,13.9,11.0,7.9
34,2018-02-04,30.3,23.0,18.52,0.6,7.7
35,2018-02-05,31.6,24.2,25.08,0.0,14.5
36,2018-02-06,30.7,24.5,15.75,0.0,10.6
37,2018-02-07,32.2,24.7,23.32,0.0,12.8
38,2018-02-08,31.7,24.6,22.3,0.0,9.3
39,2018-02-09,30.7,25.4,21.3,3.2,13.3
40,2018-02-10,26.5,23.7,8.23,9.4,14.8
41,2018-02-11,25.8,23.9,6.56,6.5,7.6
42,2018-02-12,27.7,23.3,14.24,21.1,9.4
43,2018-02-13,27.7,23.4,12.11,2.8,9.3
44,2018-02-14,29.1,23.4,18.64,6.8,8.3
