,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,28.7,25.6,23.77,1.9,22.3
1,2018-01-02,28.6,25.7,22.2,0.0,19.2
2,2018-01-03,28.6,25.8,25.03,0.0,18.0
3,2018-01-04,29.0,25.6,24.52,0.0,20.3
4,2018-01-05,28.5,26.2,22.67,0.4,21.0
5,2018-01-06,28.4,24.6,23.07,2.7,23.8
6,2018-01-07,28.8,25.1,23.54,1.0,23.0
7,2018-01-08,28.6,25.5,22.32,1.8,25.3
8,2018-01-09,28.3,24.6,22.33,2.2,26.4
9,2018-01-10,26.8,24.9,17.07,2.5,23.7
10,2018-01-11,27.8,23.8,21.91,2.8,19.8
11,2018-01-12,28.6,25.6,23.21,0.1,21.1
12,2018-01-13,28.3,25.7,20.21,2.4,25.9
13,2018-01-14,28.8,24.9,21.84,3.8,25.9
14,2018-01-15,27.2,24.4,19.52,4.5,26.8
15,2018-01-16,28.8,25.6,23.53,0.1,30.3
16,2018-01-17,28.6,24.9,21.59,2.0,30.2
17,2018-01-18,27.3,24.4,22.62,3.4,28.5
18,2018-01-19,27.1,24.4,18.8,16.7,22.0
19,2018-01-20,27.7,24.4,19.66,6.8,21.2
20,2018-01-21,28.2,24.4,22.83,2.4,25.9
21,2018-01-22,28.6,25.0,19.66,1.6,25.7
22,2018-01-23,26.7,24.9,13.4,9.5,20.7
23,2018-01-24,27.9,25.0,16.17,2.8,22.6
24,2018-01-25,28.4,25.5,23.47,1.1,20.2
25,2018-01-26,28.6,25.8,20.69,0.0,20.9
26,2018-01-27,28.2,26.1,24.18,0.7,22.3
27,2018-01-28,28.8,25.3,24.48,0.3,22.7
28,2018-01-29,28.5,26.1,15.94,0.7,23.0
29,2018-01-30,29.2,26.5,25.42,0.3,24.5
30,2018-01-31,28.7,26.3,24.71,0.9,25.8
31,2018-02-01,28.7,26.3,23.36,0.2,26.3
32,2018-02-02,29.2,26.1,23.59,2.5,24.4
33,2018-02-03,29.0,26.1,24.45,0.7,22.4
34,2018-02-04,29.3,25.7,26.73,0.2,24.0
35,2018-02-05,29.1,26.3,24.3,0.0,23.1
36,2018-02-06,29.2,26.7,23.95,1.6,23.6
37,2018-02-07,29.3,26.3,24.42,2.7,24.8
38,2018-02-08,27.8,25.8,21.62,7.0,22.6
39,2018-02-09,28.0,24.4,21.41,10.4,21.4
40,2018-02-10,27.0,24.4,21.6,8.3,21.3
41,2018-02-11,28.9,24.8,19.94,1.8,24.3
42,2018-02-12,28.4,25.1,22.43,3.2,17.4
43,2018-02-13,27.8,24.5,21.66,5.4,19.9
44,2018-02-14,26.1,24.2,11.64,38.1,20.3
45,2018-02-15,28.3,24.1,15.4,8.5,21.3
46,2018-02-16,26.9,24.4,14.01,19.6,23.4
47,2018-02-17,26.6,24.5,13.56,18.5,20.9
48,2018-02-18,28.4,24.6,22.44,3.8,17.3
49,2018-02-19,28.1,24.9,23.03,2.0,19.4
50,2018-02-20,28.8,25.4,24.2,2.1,19.1
51,2018-02-21,28.9,25.5,25.55,1.4,19.7
52,2018-02-22,27.7,24.9,19.88,8.0,21.2
53,2018-02-23,28.5,24.4,21.27,1.3,16.3
54,2018-02-24,28.8,25.2,22.41,0.9,20.4
55,2018-02-25,27.8,25.5,23.14,1.8,19.1
56,2018-02-26,28.4,25.4,24.87,0.0,17.6
57,2018-02-27,28.6,25.2,22.8,2.0,25.0
58,2018-02-28,27.6,25.4,19.08,5.1,20.0
59,2018-03-01,26.7,24.7,14.93,16.4,17.3
60,2018-03-02,28.1,24.3,18.13,7.8,14.2
