,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,30.7,20.7,26.23,6.2,11.0
1,2018-01-02,25.8,21.2,11.5,11.5,17.7
2,2018-01-03,28.7,19.3,26.5,0.1,18.5
3,2018-01-04,32.1,18.6,32.47,0.0,12.1
4,2018-01-05,33.6,19.6,28.17,0.0,13.4
5,2018-01-06,26.8,21.4,20.57,0.4,26.0
6,2018-01-07,26.5,18.0,25.3,0.0,19.3
7,2018-01-08,28.0,19.2,27.71,0.0,24.5
8,2018-01-09,29.5,18.1,30.35,0.0,25.6
9,2018-01-10,30.5,21.6,21.65,1.4,18.7
10,2018-01-11,29.1,21.1,23.29,3.1,19.2
11,2018-01-12,28.9,21.8,23.6,8.1,18.2
12,2018-01-13,30.9,21.2,25.91,0.0,14.2
13,2018-01-14,30.0,22.2,16.53,18.4,13.6
14,2018-01-15,29.1,23.6,16.69,6.3,22.0
15,2018-01-16,27.2,22.5,13.9,0.1,19.1
16,2018-01-17,29.6,21.3,22.53,0.6,14.5
17,2018-01-18,31.0,22.7,22.42,8.4,22.7
18,2018-01-19,29.5,20.3,27.78,0.0,12.2
19,2018-01-20,31.2,17.2,28.58,0.0,17.7
20,2018-01-21,27.6,22.4,12.45,18.5,13.4
21,2018-01-22,28.0,21.8,14.53,11.5,15.0
22,2018-01-23,29.3,23.3,17.57,1.0,23.9
23,2018-01-24,31.3,22.6,23.22,8.9,14.4
24,2018-01-25,25.7,21.3,14.67,1.5,23.0
25,2018-01-26,25.3,19.3,21.56,0.0,25.1
26,2018-01-27,29.3,20.1,26.27,0.0,18.2
27,2018-01-28,28.0,22.3,13.69,8.7,14.5
28,2018-01-29,26.2,20.6,25.68,0.5,21.1
29,2018-01-30,27.7,20.2,21.71,0.1,22.3
30,2018-01-31,27.6,20.0,23.12,0.0,20.5
31,2018-02-01,29.6,18.0,27.15,0.0,16.9
32,2018-02-02,30.4,18.4,29.44,0.0,12.9
33,2018-02-03,27.0,20.9,20.05,0.0,17.4
34,2018-02-04,28.6,18.6,28.69,0.0,22.8
35,2018-02-05,30.1,18.7,28.55,0.0,18.8
36,2018-02-06,30.1,19.3,25.65,0.0,21.0
37,2018-02-07,31.3,19.5,27.6,0.0,19.0
38,2018-02-08,32.9,20.2,28.37,0.0,19.2
39,2018-02-09,34.9,22.0,25.88,1.3,20.4
40,2018-02-10,31.3,22.8,21.56,4.0,20.2
41,2018-02-11,27.6,21.3,11.81,4.0,32.0
42,2018-02-12,23.6,19.2,18.22,0.3,25.2
43,2018-02-13,26.5,16.6,25.56,0.0,17.1
44,2018-02-14,27.6,16.0,25.98,0.0,22.3
45,2018-02-15,28.3,16.6,28.15,0.0,23.4
46,2018-02-16,29.7,18.6,27.03,0.0,23.3
47,2018-02-17,31.1,19.1,27.27,0.0,19.2
48,2018-02-18,32.6,18.7,26.01,0.0,18.1
49,2018-02-19,29.2,20.9,15.79,10.3,15.3
50,2018-02-20,28.8,22.0,15.96,32.1,14.6
51,2018-02-21,29.1,20.2,22.13,14.6,22.0
52,2018-02-22,26.1,18.5,21.38,1.7,18.7
53,2018-02-23,26.4,19.4,20.57,0.6,15.2
54,2018-02-24,27.9,19.6,22.32,0.3,16.1
55,2018-02-25,28.6,19.5,23.45,0.5,13.2
56,2018-02-26,28.2,20.6,19.77,0.7,14.0
57,2018-02-27,28.7,20.3,19.23,1.7,10.2
58,2018-02-28,28.9,20.6,18.26,4.2,11.9
59,2018-03-01,29.4,21.7,21.93,9.5,11.0
60,2018-03-02,28.6,22.2,19.65,0.4,15.9
61,2018-03-03,28.8,21.3,21.42,0.0,14.5
62,2018-03-04,29.8,21.6,22.08,3.9,16.2
63,2018-03-05,30.6,21.1,21.64,0.4,10.9
64,2018-03-06,26.5,20.5,16.44,1.6,21.8
65,2018-03-07,25.9,19.0,25.12,0.0,15.5
66,2018-03-08,26.4,16.3,21.36,0.0,13.0
67,2018-03-09,27.7,17.4,18.41,0.0,17.9
68,2018-03-10,31.8,18.9,23.31,0.0,11.4
69,2018-03-11,34.6,20.5,23.7,1.3,25.9
70,2018-03-12,25.3,17.7,25.77,1.8,14.8
71,2018-03-13,27.3,15.5,23.65,0.4,10.8
72,2018-03-14,30.0,18.6,17.85,2.3,15.5
73,2018-03-15,27.4,20.7,7.64,46.4,25.3
74,2018-03-16,25.8,16.2,24.32,0.0,10.0
75,2018-03-17,29.8,17.4,22.24,0.0,14.5
76,2018-03-18,34.7,21.1,20.28,20.7,17.4
77,2018-03-19,24.7,19.9,12.81,4.1,17.4
78,2018-03-20,23.2,17.6,12.92,4.4,9.8
79,2018-03-21,23.8,15.1,18.71,0.5,14.7
80,2018-03-22,25.2,14.3,23.27,0.0,14.1
81,2018-03-23,30.3,17.3,19.37,1.3,9.7
82,2018-03-24,27.9,21.0,7.63,7.3,11.7
83,2018-03-25,24.6,19.3,12.27,10.0,26.3
84,2018-03-26,22.4,17.7,10.29,1.6,19.0
85,2018-03-27,23.6,20.1,5.48,0.2,21.5
86,2018-03-28,26.7,20.4,12.13,0.3,11.3
87,2018-03-29,27.1,21.3,9.26,12.3,10.9
88,2018-03-30,27.9,21.3,14.41,0.8,11.6
89,2018-03-31,25.0,21.4,5.88,17.0,7.2
90,2018-04-01,24.6,21.1,9.45,8.9,9.7
91,2018-04-02,24.0,20.3,6.9,3.9,18.7
92,2018-04-03,25.7,19.6,15.97,8.4,8.1
93,2018-04-04,24.7,18.9,13.44,13.9,12.1
94,2018-04-05,25.3,18.2,14.62,0.1,10.9
95,2018-04-06,26.5,17.0,18.3,0.0,12.0
96,2018-04-07,29.2,17.2,18.89,0.0,9.7
97,2018-04-08,28.2,19.7,18.26,0.0,13.1
98,2018-04-09,28.8,20.2,16.63,0.0,16.5
99,2018-04-10,30.2,19.4,19.02,0.0,13.8
100,2018-04-11,31.8,19.6,19.44,0.0,12.7
101,2018-04-12,31.8,21.2,18.78,0.0,24.5
102,2018-04-13,23.1,19.7,2.74,4.8,22.7
103,2018-04-14,22.6,18.9,9.17,0.0,22.1
104,2018-04-15,24.2,18.3,14.23,0.2,20.7
105,2018-04-16,25.0,17.4,17.01,0.0,20.2
106,2018-04-17,26.3,15.4,18.66,0.0,13.7
