,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,29.6,25.0,24.12,0.3,14.8
1,2018-01-02,29.8,24.7,23.37,0.0,17.6
2,2018-01-03,29.8,24.8,22.12,0.0,14.5
3,2018-01-04,30.2,24.9,23.73,0.0,15.9
4,2018-01-05,28.9,25.1,21.57,1.7,16.8
5,2018-01-06,29.2,23.6,21.75,1.4,18.1
6,2018-01-07,27.9,23.2,21.44,2.1,16.4
7,2018-01-08,27.9,23.4,20.15,1.9,17.5
8,2018-01-09,29.5,24.4,22.75,0.0,15.8
9,2018-01-10,28.4,24.1,20.22,2.2,16.7
10,2018-01-11,28.4,23.5,20.45,3.7,14.5
11,2018-01-12,27.9,23.1,22.39,1.6,16.5
12,2018-01-13,29.1,24.0,22.95,2.5,17.9
13,2018-01-14,26.6,23.8,14.36,3.5,17.7
14,2018-01-15,27.1,24.1,16.17,4.2,19.3
15,2018-01-16,28.4,24.3,25.32,0.4,20.7
16,2018-01-17,28.4,23.5,20.75,5.1,21.6
17,2018-01-18,27.1,23.2,17.2,2.5,18.4
18,2018-01-19,27.1,23.5,13.26,8.0,14.0
19,2018-01-20,29.1,24.3,23.46,1.4,15.9
20,2018-01-21,28.3,24.0,22.97,1.2,17.8
21,2018-01-22,28.3,24.2,18.84,1.8,19.0
22,2018-01-23,27.3,23.6,17.24,3.2,15.5
23,2018-01-24,27.7,23.8,18.19,1.4,16.7
24,2018-01-25,28.4,24.2,21.55,2.1,14.6
25,2018-01-26,28.7,24.6,22.01,0.7,14.4
26,2018-01-27,28.8,24.6,20.92,0.4,13.8
27,2018-01-28,27.8,24.7,20.57,1.3,15.2
28,2018-01-29,28.1,23.8,20.01,3.4,15.1
29,2018-01-30,29.4,24.9,23.85,0.1,15.8
30,2018-01-31,29.2,25.1,22.6,1.1,18.8
31,2018-02-01,28.8,25.0,20.59,2.5,18.6
32,2018-02-02,28.8,25.0,21.98,1.2,15.9
33,2018-02-03,29.0,24.6,22.27,0.0,15.3
34,2018-02-04,29.2,24.6,22.64,0.0,14.9
35,2018-02-05,29.1,24.9,22.42,1.0,15.2
36,2018-02-06,29.4,25.2,21.16,1.2,16.9
37,2018-02-07,29.8,25.1,24.35,0.5,17.2
38,2018-02-08,29.6,25.8,23.67,0.4,16.8
39,2018-02-09,28.0,23.9,17.99,5.4,15.0
40,2018-02-10,27.9,23.9,19.12,2.6,17.5
41,2018-02-11,27.8,24.7,19.72,0.4,18.2
42,2018-02-12,28.3,24.2,20.08,5.1,13.1
43,2018-02-13,27.5,23.6,18.51,3.3,15.4
44,2018-02-14,27.5,23.4,14.99,10.8,16.8
45,2018-02-15,28.0,24.2,18.14,3.3,15.5
46,2018-02-16,27.2,24.2,17.61,7.0,18.6
47,2018-02-17,27.6,24.0,18.02,5.9,17.1
48,2018-02-18,27.3,23.5,18.33,4.7,16.4
49,2018-02-19,27.6,23.3,19.18,1.4,14.4
50,2018-02-20,27.6,23.8,17.76,2.3,12.5
51,2018-02-21,28.2,23.9,20.63,2.6,14.1
52,2018-02-22,28.6,24.1,20.33,3.6,13.7
53,2018-02-23,28.2,22.8,19.78,1.6,13.9
54,2018-02-24,28.2,24.8,19.94,1.7,15.0
55,2018-02-25,27.4,23.8,19.15,1.3,12.7
56,2018-02-26,28.9,23.3,24.76,0.9,13.0
57,2018-02-27,27.5,24.6,21.24,0.7,17.9
58,2018-02-28,27.2,24.5,15.09,10.5,12.6
59,2018-03-01,27.4,23.4,18.29,1.9,14.4
60,2018-03-02,28.7,23.6,20.49,9.8,11.3
61,2018-03-03,27.8,23.8,18.25,3.9,11.6
62,2018-03-04,28.7,25.0,21.24,1.4,15.2
63,2018-03-05,28.6,24.9,18.33,3.4,13.2
64,2018-03-06,29.3,24.5,22.05,1.2,14.3
65,2018-03-07,30.2,25.1,25.0,0.2,17.0
66,2018-03-08,29.9,24.9,23.85,0.7,17.3
67,2018-03-09,29.4,24.8,22.76,0.6,14.2
68,2018-03-10,29.2,24.8,22.33,1.0,15.0
69,2018-03-11,30.1,25.2,23.44,0.6,15.5
70,2018-03-12,30.6,25.5,22.78,0.7,20.2
