,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,26.9,22.7,11.96,18.7,11.1
1,2018-01-02,30.1,22.6,19.5,4.0,12.8
2,2018-01-03,28.8,22.6,16.73,7.2,7.4
3,2018-01-04,30.3,22.3,18.01,0.5,8.3
4,2018-01-05,30.6,22.5,21.71,0.8,11.8
5,2018-01-06,29.6,23.1,19.99,25.3,11.1
6,2018-01-07,25.0,22.6,6.93,13.6,10.9
7,2018-01-08,25.9,21.8,12.0,29.8,7.7
8,2018-01-09,27.3,21.6,11.74,16.5,7.4
9,2018-01-10,26.3,21.5,13.46,26.9,11.6
10,2018-01-11,26.7,21.4,12.06,4.8,10.9
11,2018-01-12,29.5,21.3,18.5,4.0,8.6
12,2018-01-13,29.8,22.5,21.94,0.6,11.0
13,2018-01-14,26.5,22.4,11.46,10.8,11.0
14,2018-01-15,30.5,22.6,20.83,15.5,7.2
15,2018-01-16,24.4,22.1,6.93,97.7,5.9
16,2018-01-17,27.3,21.7,13.2,9.6,6.3
17,2018-01-18,27.7,22.0,13.46,9.9,9.0
18,2018-01-19,28.1,22.0,15.74,1.8,9.2
19,2018-01-20,30.8,22.0,21.81,3.9,4.7
20,2018-01-21,30.5,23.2,22.14,1.2,6.3
21,2018-01-22,29.7,22.5,18.96,11.3,8.7
22,2018-01-23,28.3,22.6,15.36,11.1,8.6
23,2018-01-24,30.5,23.3,18.68,7.1,7.9
24,2018-01-25,28.7,22.9,17.07,10.3,7.2
25,2018-01-26,29.8,22.8,18.63,3.2,12.3
26,2018-01-27,30.8,23.0,21.05,9.1,13.2
27,2018-01-28,31.1,24.1,20.1,3.6,11.8
28,2018-01-29,29.6,23.6,19.08,11.2,11.3
29,2018-01-30,30.9,23.0,20.28,3.1,11.9
30,2018-01-31,31.1,23.1,22.31,13.8,13.0
31,2018-02-01,30.8,23.6,17.82,8.4,13.7
32,2018-02-02,27.8,23.3,15.8,14.5,8.2
33,2018-02-03,30.6,23.2,20.13,7.3,8.0
34,2018-02-04,26.4,22.6,8.63,14.4,7.2
35,2018-02-05,26.4,23.1,8.5,19.4,8.0
36,2018-02-06,31.5,22.7,21.41,0.5,9.4
37,2018-02-07,30.8,23.4,21.03,3.0,11.8
38,2018-02-08,30.6,24.0,16.6,4.2,9.4
39,2018-02-09,28.7,22.4,17.52,29.1,8.8
40,2018-02-10,29.9,22.6,19.91,13.6,9.7
41,2018-02-11,30.1,23.1,17.18,8.1,11.5
42,2018-02-12,30.7,22.9,20.99,4.1,10.4
43,2018-02-13,26.3,22.7,8.24,23.7,6.8
44,2018-02-14,25.5,22.3,9.01,9.5,10.9
45,2018-02-15,29.4,22.0,18.12,9.2,8.5
46,2018-02-16,29.9,21.8,21.77,0.4,5.8
47,2018-02-17,30.6,22.9,20.26,3.4,5.8
48,2018-02-18,28.9,23.0,17.11,5.2,10.2
49,2018-02-19,27.7,22.4,15.51,10.3,13.9
50,2018-02-20,26.0,22.8,11.88,8.5,13.0
51,2018-02-21,30.4,22.5,22.58,4.6,10.4
52,2018-02-22,27.3,22.9,15.21,20.0,7.4
53,2018-02-23,28.3,21.9,13.13,20.6,9.4
54,2018-02-24,26.5,21.9,8.86,12.5,10.1
55,2018-02-25,23.5,21.0,5.92,35.5,10.4
56,2018-02-26,29.4,21.0,20.18,11.4,10.4
57,2018-02-27,30.6,21.1,26.0,0.0,8.7
58,2018-02-28,31.4,22.4,23.61,1.4,10.8
59,2018-03-01,31.4,23.5,20.98,8.5,7.8
60,2018-03-02,29.6,22.4,15.87,18.6,10.5
61,2018-03-03,31.4,22.7,22.71,0.9,5.1
62,2018-03-04,31.1,23.0,20.0,2.9,6.6
63,2018-03-05,30.9,23.2,20.44,2.2,8.7
64,2018-03-06,28.4,24.1,15.65,11.8,6.8
65,2018-03-07,25.8,23.0,8.89,16.2,5.4
66,2018-03-08,29.8,22.2,19.02,0.8,7.0
67,2018-03-09,27.7,23.2,16.5,12.1,8.4
68,2018-03-10,30.1,22.4,17.75,7.5,12.3
69,2018-03-11,31.1,23.1,19.74,3.1,9.4
70,2018-03-12,29.3,22.8,14.44,18.1,10.4
71,2018-03-13,29.9,23.2,18.4,5.9,11.2
72,2018-03-14,28.9,22.6,17.14,11.0,13.3
73,2018-03-15,30.2,22.8,19.66,2.9,11.2
74,2018-03-16,30.9,23.9,18.0,2.8,13.2
75,2018-03-17,29.6,23.0,18.66,7.2,8.9
76,2018-03-18,30.6,22.8,19.22,3.9,10.4
77,2018-03-19,31.6,22.9,24.62,0.0,9.4
78,2018-03-20,27.8,23.1,11.48,14.2,8.7
79,2018-03-21,28.1,23.0,13.04,4.1,6.9
80,2018-03-22,29.5,22.2,14.86,3.2,9.9
81,2018-03-23,29.7,22.6,17.11,0.2,14.4
82,2018-03-24,31.4,22.9,23.48,0.0,10.4
83,2018-03-25,28.1,23.6,14.91,8.7,8.2
84,2018-03-26,24.3,20.2,8.36,0.4,14.6
85,2018-03-27,27.3,19.8,15.8,0.0,7.9
86,2018-03-28,27.7,20.0,17.46,0.0,7.4
87,2018-03-29,30.2,21.4,22.58,0.2,7.1
88,2018-03-30,28.8,22.2,17.25,2.3,7.2
89,2018-03-31,28.6,22.0,15.27,10.0,5.6
90,2018-04-01,28.5,21.9,15.94,8.5,4.7
91,2018-04-02,30.7,21.8,19.83,7.3,7.7
92,2018-04-03,27.1,22.5,12.33,18.6,9.5
93,2018-04-04,28.1,21.8,13.13,4.7,7.1
94,2018-04-05,29.5,22.4,18.57,1.7,7.8
95,2018-04-06,29.8,22.3,19.5,6.9,9.7
96,2018-04-07,26.7,22.8,10.36,14.9,8.2
97,2018-04-08,28.2,21.9,15.36,7.4,8.7
98,2018-04-09,27.5,22.3,14.78,7.1,5.4
99,2018-04-10,28.1,22.3,15.2,14.4,7.1
100,2018-04-11,30.2,22.8,18.37,0.9,9.1
