,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,26.6,19.1,27.22,4.8,10.6
1,2018-01-02,29.4,19.5,23.99,0.2,9.7
2,2018-01-03,26.8,19.7,17.71,33.3,12.9
3,2018-01-04,22.3,18.3,13.77,40.9,8.1
4,2018-01-05,21.8,17.3,9.05,17.9,5.9
5,2018-01-06,26.2,19.1,12.21,1.5,8.7
6,2018-01-07,20.8,18.3,7.62,24.1,8.8
7,2018-01-08,22.2,18.0,11.14,20.2,7.4
8,2018-01-09,24.5,18.4,23.21,1.1,12.2
9,2018-01-10,26.0,18.6,25.6,1.1,12.8
10,2018-01-11,26.4,18.3,26.49,0.1,8.7
11,2018-01-12,25.2,19.4,15.84,6.6,7.6
12,2018-01-13,27.3,18.6,22.26,3.8,8.4
13,2018-01-14,28.3,19.2,17.82,0.7,9.9
14,2018-01-15,28.9,20.0,15.25,0.1,13.4
15,2018-01-16,28.4,19.3,26.94,3.8,7.4
16,2018-01-17,28.3,20.2,25.83,1.5,7.5
17,2018-01-18,31.4,20.6,29.92,0.0,14.4
18,2018-01-19,29.5,20.1,25.52,0.5,14.4
19,2018-01-20,27.2,20.1,22.21,12.9,10.1
20,2018-01-21,27.2,20.1,20.27,10.8,7.5
21,2018-01-22,27.9,19.5,23.19,11.7,8.2
22,2018-01-23,29.5,20.2,27.79,2.2,9.4
23,2018-01-24,29.6,21.0,27.7,0.9,10.5
24,2018-01-25,27.0,21.3,24.43,5.5,12.9
25,2018-01-26,23.6,18.9,16.32,13.3,11.2
26,2018-01-27,21.6,18.7,10.96,9.2,10.1
27,2018-01-28,24.7,18.3,19.76,1.2,9.4
28,2018-01-29,29.1,19.5,22.18,0.7,11.7
29,2018-01-30,21.2,17.9,4.46,25.5,9.0
30,2018-01-31,22.4,17.7,17.23,8.1,13.6
31,2018-02-01,22.6,16.4,23.76,0.5,11.9
32,2018-02-02,23.4,17.3,23.08,0.1,10.5
33,2018-02-03,22.5,17.4,21.79,2.6,14.2
34,2018-02-04,22.8,17.3,16.78,1.1,10.4
35,2018-02-05,18.1,16.8,5.2,18.0,2.9
36,2018-02-06,21.5,16.5,11.45,7.1,9.8
37,2018-02-07,22.4,17.5,17.84,9.4,11.6
38,2018-02-08,24.5,17.4,24.75,0.5,8.7
39,2018-02-09,27.0,17.2,26.7,0.3,8.9
40,2018-02-10,29.7,19.4,27.14,0.1,9.8
41,2018-02-11,29.4,20.0,26.56,0.0,7.2
42,2018-02-12,30.1,20.9,25.16,1.4,7.2
43,2018-02-13,24.0,20.5,12.71,2.2,11.2
44,2018-02-14,23.4,19.2,12.04,5.0,8.2
45,2018-02-15,23.9,18.5,18.55,5.3,9.7
46,2018-02-16,24.0,17.9,19.79,8.0,9.4
47,2018-02-17,23.5,17.7,18.64,6.9,7.8
48,2018-02-18,24.4,18.2,16.62,12.5,7.6
49,2018-02-19,25.8,18.0,16.96,12.8,6.8
50,2018-02-20,28.2,19.5,19.25,6.1,9.3
51,2018-02-21,28.6,20.7,21.62,20.0,9.8
52,2018-02-22,26.4,19.8,19.42,25.9,10.5
53,2018-02-23,21.6,19.4,8.89,43.0,10.8
54,2018-02-24,22.0,18.2,11.52,2.7,7.0
55,2018-02-25,23.0,18.1,15.67,0.0,12.7
56,2018-02-26,24.6,18.4,15.69,7.2,6.5
57,2018-02-27,24.1,18.8,11.4,7.2,5.5
58,2018-02-28,25.4,17.8,21.04,12.2,10.0
59,2018-03-01,25.1,19.2,19.56,2.9,7.6
60,2018-03-02,26.8,20.4,19.57,10.0,7.6
61,2018-03-03,25.6,20.0,16.96,11.1,9.4
62,2018-03-04,24.7,18.7,18.83,8.4,10.5
63,2018-03-05,25.5,19.7,17.46,8.9,8.7
64,2018-03-06,25.5,19.5,21.8,1.1,10.0
65,2018-03-07,25.1,19.8,17.64,9.9,10.1
66,2018-03-08,22.6,19.5,8.08,25.2,8.5
67,2018-03-09,22.2,19.3,8.46,0.6,10.9
68,2018-03-10,23.4,18.5,13.26,6.2,10.2
