,time,temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,rain_sum,windspeed_10m_max
0,2018-01-01,26.0,19.9,20.43,1.9,19.4
1,2018-01-02,26.0,19.7,14.03,1.2,22.4
2,2018-01-03,22.3,17.6,7.42,34.4,22.1
3,2018-01-04,24.5,17.1,30.91,0.0,15.7
4,2018-01-05,25.0,15.9,27.43,0.2,14.0
5,2018-01-06,25.7,18.1,22.37,18.0,13.9
6,2018-01-07,19.9,17.0,11.37,6.3,16.6
7,2018-01-08,19.7,16.8,5.01,31.7,13.0
8,2018-01-09,22.8,17.2,13.01,14.7,10.8
9,2018-01-10,25.7,17.7,20.55,1.5,11.8
10,2018-01-11,26.9,18.8,17.93,10.4,12.1
11,2018-01-12,25.1,18.0,17.41,17.8,20.1
12,2018-01-13,25.6,18.2,20.15,3.9,19.6
13,2018-01-14,28.0,19.3,25.79,2.8,18.5
14,2018-01-15,27.5,19.8,21.15,2.0,23.9
15,2018-01-16,25.7,19.3,14.17,22.9,11.8
16,2018-01-17,27.3,19.2,18.98,1.6,6.8
17,2018-01-18,28.8,19.6,24.21,3.3,18.5
18,2018-01-19,26.6,19.9,18.49,9.3,10.6
19,2018-01-20,22.8,19.6,12.34,13.8,11.4
20,2018-01-21,24.9,19.1,18.92,10.9,7.7
21,2018-01-22,28.8,19.5,25.78,2.1,8.6
22,2018-01-23,30.6,20.0,28.19,6.6,12.0
23,2018-01-24,28.4,20.2,19.95,10.3,9.9
24,2018-01-25,24.9,19.1,18.26,8.1,16.9
25,2018-01-26,22.7,17.8,16.41,3.0,19.6
26,2018-01-27,21.4,16.9,16.22,1.8,18.6
27,2018-01-28,26.5,17.4,21.68,5.6,9.2
28,2018-01-29,26.6,19.9,15.33,25.7,12.0
29,2018-01-30,20.5,17.0,9.0,13.0,13.8
30,2018-01-31,22.9,16.8,24.17,0.6,17.6
31,2018-02-01,22.5,15.9,22.76,0.5,16.4
32,2018-02-02,23.7,16.7,20.38,0.5,16.4
33,2018-02-03,22.2,16.3,22.51,2.3,20.9
34,2018-02-04,22.6,14.3,22.67,0.4,18.8
35,2018-02-05,20.6,16.1,19.29,2.1,18.6
36,2018-02-06,21.8,16.6,17.85,3.7,12.6
37,2018-02-07,23.5,16.3,27.21,0.0,12.1
38,2018-02-08,25.6,15.8,27.37,0.2,11.6
39,2018-02-09,28.2,17.1,27.53,0.0,10.4
40,2018-02-10,28.4,18.8,21.39,7.0,18.6
41,2018-02-11,28.6,19.2,22.46,2.7,11.0
42,2018-02-12,28.2,19.6,18.98,10.6,22.8
43,2018-02-13,19.1,16.7,8.97,10.7,22.3
44,2018-02-14,19.4,16.1,9.08,11.3,17.8
45,2018-02-15,20.3,15.4,13.38,4.0,19.5
46,2018-02-16,21.9,17.1,15.36,2.1,14.7
47,2018-02-17,22.2,16.6,18.28,1.5,15.4
48,2018-02-18,23.1,17.3,12.67,14.3,5.9
49,2018-02-19,26.1,17.2,18.21,11.3,16.9
50,2018-02-20,25.9,19.5,18.8,6.8,26.5
51,2018-02-21,26.8,19.8,22.47,3.0,20.9
52,2018-02-22,25.8,18.2,21.65,2.7,12.8
53,2018-02-23,22.4,17.3,22.29,3.3,17.7
54,2018-02-24,22.5,16.6,22.3,0.0,19.0
55,2018-02-25,22.6,15.7,23.01,2.8,17.1
56,2018-02-26,23.2,16.4,18.03,13.8,9.4
57,2018-02-27,23.3,17.9,15.79,2.9,11.0
58,2018-02-28,26.3,17.6,24.35,0.5,14.2
59,2018-03-01,25.8,18.8,19.49,10.7,9.4
60,2018-03-02,27.3,20.0,18.01,18.2,13.3
61,2018-03-03,23.3,19.5,14.52,7.9,12.5
62,2018-03-04,25.0,19.0,20.25,13.9,12.3
63,2018-03-05,25.7,19.3,20.62,11.5,12.9
64,2018-03-06,25.6,18.8,17.93,5.2,10.6
65,2018-03-07,25.1,19.4,16.32,20.7,13.1
66,2018-03-08,21.5,18.0,12.18,1.6,15.2
67,2018-03-09,22.9,17.7,15.81,1.6,15.5
68,2018-03-10,23.3,17.9,13.3,6.8,13.0
69,2018-03-11,25.9,17.9,23.02,0.4,9.4
70,2018-03-12,28.4,18.4,22.14,0.1,15.0
71,2018-03-13,25.1,19.7,15.82,1.2,10.8
72,2018-03-14,30.2,19.8,20.35,2.3,17.3
73,2018-03-15,30.4,20.3,21.8,2.0,19.9
74,2018-03-16,24.6,20.3,15.51,9.4,13.5
75,2018-03-17,24.8,19.3,19.04,1.0,13.9
