
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,29.9,23.1,20.27,1.00,10.8
2018-01-02,30.0,23.5,19.02,4.50,9.0
2018-01-03,27.8,23.9,15.23,12.50,10.9
2018-01-04,27.4,23.0,14.76,6.40,8.8
2018-01-05,28.9,23.4,17.68,2.30,11.3
2018-01-06,30.4,23.6,21.73,2.20,13.7
2018-01-07,26.6,24.0,10.03,14.40,8.5
2018-01-08,27.3,23.4,12.61,10.20,8.2
2018-01-09,27.9,23.1,13.91,0.90,12.7
2018-01-10,29.5,23.3,16.30,2.70,10.2
2018-01-11,27.4,23.8,15.98,5.50,10.7
2018-01-12,28.2,23.2,16.24,8.70,13.3
2018-01-13,28.6,23.5,15.21,11.30,10.6
2018-01-14,29.3,23.0,15.45,4.60,10.8
2018-01-15,26.5,23.0,11.73,12.20,15.3
2018-01-16,28.3,22.6,12.48,13.70,12.4
2018-01-17,26.5,22.7,7.50,11.90,5.8
2018-01-18,27.5,23.1,11.84,19.90,9.6
2018-01-19,28.1,22.5,15.59,1.20,8.9
2018-01-20,29.0,22.9,20.42,3.90,9.5
2018-01-21,28.5,23.4,18.22,8.30,10.4
2018-01-22,29.3,22.9,17.61,6.10,12.3
2018-01-23,27.0,23.4,11.23,0.80,7.0
2018-01-24,27.5,23.0,13.77,10.50,10.5
2018-01-25,27.9,22.7,14.76,11.80,8.4
2018-01-26,28.7,22.8,16.90,14.30,8.8
2018-01-27,27.8,23.4,10.75,14.40,10.2
2018-01-28,29.7,23.7,14.34,10.00,8.6
2018-01-29,29.7,24.0,18.73,0.10,12.5
2018-01-30,30.6,24.4,20.24,0.00,12.5
2018-01-31,26.5,24.6,7.92,26.40,13.3
2018-02-01,25.2,24.0,3.47,56.30,7.3
2018-02-02,24.8,23.1,3.36,31.00,7.6
2018-02-03,28.3,22.8,13.90,11.00,7.9
2018-02-04,30.3,23.0,18.52,0.60,7.7
2018-02-05,31.6,24.2,25.08,0.00,14.5
2018-02-06,30.7,24.5,15.75,0.00,10.6
2018-02-07,32.2,24.7,23.32,0.00,12.8
2018-02-08,31.7,24.6,22.30,0.00,9.3
2018-02-09,30.7,25.4,21.30,3.20,13.3
2018-02-10,26.5,23.7,8.23,9.40,14.8
2018-02-11,25.8,23.9,6.56,6.50,7.6
2018-02-12,27.7,23.3,14.24,21.10,9.4
2018-02-13,27.7,23.4,12.11,2.80,9.3
2018-02-14,29.1,23.4,18.64,6.80,8.3
2018-02-15,28.5,22.6,16.37,16.30,7.7
2018-02-16,29.8,23.4,18.01,9.90,6.0
2018-02-17,26.5,23.5,11.23,12.30,6.2
2018-02-18,26.5,23.4,9.94,11.10,10.2
2018-02-19,28.7,22.9,16.82,4.90,13.3
2018-02-20,29.6,23.7,15.97,1.30,10.5
2018-02-21,29.0,24.5,12.86,2.90,9.2
2018-02-22,27.5,23.8,13.19,1.90,10.5
2018-02-23,26.8,23.3,10.09,9.90,6.2
2018-02-24,26.3,23.1,8.62,21.80,6.6
2018-02-25,28.8,23.0,21.01,0.10,11.5
2018-02-26,31.0,22.8,23.29,0.70,9.7
2018-02-27,27.6,23.7,15.61,12.10,8.8
2018-02-28,29.4,22.8,20.12,5.50,6.9
2018-03-01,31.7,23.5,23.25,2.30,9.5
2018-03-02,31.4,24.5,24.91,0.60,11.1
2018-03-03,29.5,24.7,17.61,13.60,8.4
2018-03-04,29.5,23.9,16.86,5.10,7.8
2018-03-05,30.1,23.8,18.30,1.80,6.5
2018-03-06,29.1,24.1,16.46,16.10,10.7
2018-03-07,30.0,23.6,15.67,20.40,8.9
2018-03-08,28.4,23.4,15.64,8.80,10.5
2018-03-09,30.4,24.0,17.23,2.40,11.0
2018-03-10,30.3,23.9,20.67,7.30,14.2
2018-03-11,29.6,23.9,15.52,0.60,13.1
2018-03-12,29.8,24.8,19.48,0.30,14.4
2018-03-13,29.7,24.8,15.67,1.40,9.6
2018-03-14,29.1,23.6,15.39,6.50,7.5
2018-03-15,28.9,24.1,16.09,20.20,11.1
2018-03-16,27.3,23.8,11.96,19.00,9.2
2018-03-17,28.4,23.3,13.40,16.60,6.9
2018-03-18,28.9,23.5,13.56,9.70,10.8
2018-03-19,29.7,23.5,17.36,5.50,10.2
2018-03-20,30.0,23.8,20.37,1.50,12.4
2018-03-21,28.7,24.2,15.52,10.70,12.2
2018-03-22,30.1,23.6,16.67,16.60,9.9
2018-03-23,29.2,23.8,13.92,16.70,7.3
2018-03-24,29.0,23.9,15.78,11.50,8.4
2018-03-25,28.3,23.8,14.84,5.80,11.2
2018-03-26,30.1,23.5,20.85,2.70,15.1
2018-03-27,29.7,24.2,18.86,2.70,10.7
2018-03-28,27.8,23.8,13.36,17.50,6.8
2018-03-29,26.6,23.7,9.14,11.70,8.6
2018-03-30,28.3,23.4,14.51,13.50,9.2
2018-03-31,27.7,23.2,13.76,25.60,5.9
2018-04-01,25.9,23.4,7.73,20.30,9.2
2018-04-02,28.0,23.5,11.97,16.50,8.5
2018-04-03,28.4,23.4,15.91,5.60,11.0
2018-04-04,30.0,23.5,20.03,5.20,5.2
2018-04-05,28.7,23.5,12.80,6.00,8.6
2018-04-06,27.5,23.0,13.19,5.00,5.2
2018-04-07,29.8,23.7,17.50,0.80,6.9
2018-04-08,29.1,23.7,18.86,11.50,8.5
2018-04-09,28.2,23.2,12.39,15.90,9.8
2018-04-10,29.7,23.6,18.65,4.60,9.7
2018-04-11,27.4,23.8,12.01,15.20,12.3
2018-04-12,29.2,23.5,16.93,10.50,7.2
2018-04-13,26.9,23.4,7.99,22.90,11.8
2018-04-14,29.5,23.4,16.74,4.70,9.9
2018-04-15,27.1,23.4,12.05,11.80,8.3
2018-04-16,27.7,23.0,13.26,12.30,5.5
2018-04-17,29.4,22.8,20.03,15.40,8.7
2018-04-18,29.2,23.3,15.66,5.40,8.5
2018-04-19,28.2,23.5,13.96,14.90,6.9
2018-04-20,27.1,24.0,13.32,12.50,9.4
2018-04-21,29.8,23.3,17.65,2.30,9.2
2018-04-22,28.3,23.5,14.42,15.20,5.5
2018-04-23,29.6,24.1,16.59,12.80,6.9
2018-04-24,28.3,23.4,15.10,17.10,10.0
2018-04-25,28.8,23.3,15.58,1.40,7.5
2018-04-26,30.2,23.9,16.19,8.00,6.9
2018-04-27,30.6,23.9,18.58,1.70,8.8
2018-04-28,29.5,24.0,18.45,9.70,7.9
2018-04-29,27.9,23.5,11.95,9.60,8.4
2018-04-30,28.4,23.0,14.49,11.90,9.4
2018-05-01,28.2,23.0,13.27,13.00,7.7
2018-05-02,28.6,23.4,17.13,6.50,5.4
2018-05-03,28.1,23.9,13.44,8.20,12.6
2018-05-04,29.6,23.6,17.79,4.20,9.4
2018-05-05,30.0,23.3,18.09,16.60,10.5
2018-05-06,27.8,23.9,11.71,12.10,6.9
2018-05-07,28.2,23.4,13.43,14.20,5.0
2018-05-08,28.1,23.5,13.35,1.30,7.7
2018-05-09,29.3,23.5,16.90,9.20,4.6
2018-05-10,28.9,23.5,15.48,5.70,6.4
2018-05-11,29.8,22.7,18.26,4.10,8.7
2018-05-12,26.4,23.6,7.99,14.60,8.8
