
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,30.7,20.7,26.23,6.20,11.0
2018-01-02,25.8,21.2,11.50,11.50,17.7
2018-01-03,28.7,19.3,26.50,0.10,18.5
2018-01-04,32.1,18.6,32.47,0.00,12.1
2018-01-05,33.6,19.6,28.17,0.00,13.4
2018-01-06,26.8,21.4,20.57,0.40,26.0
2018-01-07,26.5,18.0,25.30,0.00,19.3
2018-01-08,28.0,19.2,27.71,0.00,24.5
2018-01-09,29.5,18.1,30.35,0.00,25.6
2018-01-10,30.5,21.6,21.65,1.40,18.7
2018-01-11,29.1,21.1,23.29,3.10,19.2
2018-01-12,28.9,21.8,23.60,8.10,18.2
2018-01-13,30.9,21.2,25.91,0.00,14.2
2018-01-14,30.0,22.2,16.53,18.40,13.6
2018-01-15,29.1,23.6,16.69,6.30,22.0
2018-01-16,27.2,22.5,13.90,0.10,19.1
2018-01-17,29.6,21.3,22.53,0.60,14.5
2018-01-18,31.0,22.7,22.42,8.40,22.7
2018-01-19,29.5,20.3,27.78,0.00,12.2
2018-01-20,31.2,17.2,28.58,0.00,17.7
2018-01-21,27.6,22.4,12.45,18.50,13.4
2018-01-22,28.0,21.8,14.53,11.50,15.0
2018-01-23,29.3,23.3,17.57,1.00,23.9
2018-01-24,31.3,22.6,23.22,8.90,14.4
2018-01-25,25.7,21.3,14.67,1.50,23.0
2018-01-26,25.3,19.3,21.56,0.00,25.1
2018-01-27,29.3,20.1,26.27,0.00,18.2
2018-01-28,28.0,22.3,13.69,8.70,14.5
2018-01-29,26.2,20.6,25.68,0.50,21.1
2018-01-30,27.7,20.2,21.71,0.10,22.3
2018-01-31,27.6,20.0,23.12,0.00,20.5
2018-02-01,29.6,18.0,27.15,0.00,16.9
2018-02-02,30.4,18.4,29.44,0.00,12.9
2018-02-03,27.0,20.9,20.05,0.00,17.4
2018-02-04,28.6,18.6,28.69,0.00,22.8
2018-02-05,30.1,18.7,28.55,0.00,18.8
2018-02-06,30.1,19.3,25.65,0.00,21.0
2018-02-07,31.3,19.5,27.60,0.00,19.0
2018-02-08,32.9,20.2,28.37,0.00,19.2
2018-02-09,34.9,22.0,25.88,1.30,20.4
2018-02-10,31.3,22.8,21.56,4.00,20.2
2018-02-11,27.6,21.3,11.81,4.00,32.0
2018-02-12,23.6,19.2,18.22,0.30,25.2
2018-02-13,26.5,16.6,25.56,0.00,17.1
2018-02-14,27.6,16.0,25.98,0.00,22.3
2018-02-15,28.3,16.6,28.15,0.00,23.4
2018-02-16,29.7,18.6,27.03,0.00,23.3
2018-02-17,31.1,19.1,27.27,0.00,19.2
2018-02-18,32.6,18.7,26.01,0.00,18.1
2018-02-19,29.2,20.9,15.79,10.30,15.3
2018-02-20,28.8,22.0,15.96,32.10,14.6
2018-02-21,29.1,20.2,22.13,14.60,22.0
2018-02-22,26.1,18.5,21.38,1.70,18.7
2018-02-23,26.4,19.4,20.57,0.60,15.2
2018-02-24,27.9,19.6,22.32,0.30,16.1
2018-02-25,28.6,19.5,23.45,0.50,13.2
2018-02-26,28.2,20.6,19.77,0.70,14.0
2018-02-27,28.7,20.3,19.23,1.70,10.2
2018-02-28,28.9,20.6,18.26,4.20,11.9
2018-03-01,29.4,21.7,21.93,9.50,11.0
2018-03-02,28.6,22.2,19.65,0.40,15.9
2018-03-03,28.8,21.3,21.42,0.00,14.5
2018-03-04,29.8,21.6,22.08,3.90,16.2
2018-03-05,30.6,21.1,21.64,0.40,10.9
2018-03-06,26.5,20.5,16.44,1.60,21.8
2018-03-07,25.9,19.0,25.12,0.00,15.5
2018-03-08,26.4,16.3,21.36,0.00,13.0
2018-03-09,27.7,17.4,18.41,0.00,17.9
2018-03-10,31.8,18.9,23.31,0.00,11.4
2018-03-11,34.6,20.5,23.70,1.30,25.9
2018-03-12,25.3,17.7,25.77,1.80,14.8
2018-03-13,27.3,15.5,23.65,0.40,10.8
2018-03-14,30.0,18.6,17.85,2.30,15.5
2018-03-15,27.4,20.7,7.64,46.40,25.3
2018-03-16,25.8,16.2,24.32,0.00,10.0
2018-03-17,29.8,17.4,22.24,0.00,14.5
2018-03-18,34.7,21.1,20.28,20.70,17.4
2018-03-19,24.7,19.9,12.81,4.10,17.4
2018-03-20,23.2,17.6,12.92,4.40,9.8
2018-03-21,23.8,15.1,18.71,0.50,14.7
2018-03-22,25.2,14.3,23.27,0.00,14.1
2018-03-23,30.3,17.3,19.37,1.30,9.7
2018-03-24,27.9,21.0,7.63,7.30,11.7
2018-03-25,24.6,19.3,12.27,10.00,26.3
2018-03-26,22.4,17.7,10.29,1.60,19.0
2018-03-27,23.6,20.1,5.48,0.20,21.5
2018-03-28,26.7,20.4,12.13,0.30,11.3
2018-03-29,27.1,21.3,9.26,12.30,10.9
2018-03-30,27.9,21.3,14.41,0.80,11.6
2018-03-31,25.0,21.4,5.88,17.00,7.2
2018-04-01,24.6,21.1,9.45,8.90,9.7
2018-04-02,24.0,20.3,6.90,3.90,18.7
2018-04-03,25.7,19.6,15.97,8.40,8.1
2018-04-04,24.7,18.9,13.44,13.90,12.1
2018-04-05,25.3,18.2,14.62,0.10,10.9
2018-04-06,26.5,17.0,18.30,0.00,12.0
2018-04-07,29.2,17.2,18.89,0.00,9.7
2018-04-08,28.2,19.7,18.26,0.00,13.1
2018-04-09,28.8,20.2,16.63,0.00,16.5
2018-04-10,30.2,19.4,19.02,0.00,13.8
2018-04-11,31.8,19.6,19.44,0.00,12.7
2018-04-12,31.8,21.2,18.78,0.00,24.5
2018-04-13,23.1,19.7,2.74,4.80,22.7
2018-04-14,22.6,18.9,9.17,0.00,22.1
2018-04-15,24.2,18.3,14.23,0.20,20.7
2018-04-16,25.0,17.4,17.01,0.00,20.2
2018-04-17,26.3,15.4,18.66,0.00,13.7
2018-04-18,28.2,16.6,18.32,0.00,11.8
2018-04-19,29.4,17.5,16.28,0.00,10.2
2018-04-20,30.6,16.6,16.32,0.00,10.0
2018-04-21,28.6,19.4,13.58,0.60,13.3
2018-04-22,29.1,18.8,15.70,0.00,10.0
2018-04-23,30.3,20.2,13.07,2.60,11.5
2018-04-24,29.2,20.0,14.42,0.30,12.1
2018-04-25,29.2,21.1,14.37,0.00,7.7
2018-04-26,27.8,20.9,11.41,0.00,10.8
2018-04-27,29.6,19.7,14.50,0.00,10.5
2018-04-28,30.8,19.9,15.33,0.00,8.6
2018-04-29,30.8,19.9,15.38,0.00,8.5
2018-04-30,27.0,21.9,10.19,5.90,14.3
2018-05-01,21.9,19.9,2.71,1.20,16.9
2018-05-02,25.1,19.6,9.64,3.40,16.8
2018-05-03,30.8,18.9,13.60,0.50,15.8
2018-05-04,27.3,18.5,14.39,0.00,13.6
2018-05-05,25.1,19.5,8.16,0.00,13.6
2018-05-06,25.2,20.2,9.59,0.10,20.8
2018-05-07,24.0,19.0,9.53,0.20,19.7
2018-05-08,26.0,17.5,15.18,0.00,15.5
2018-05-09,26.6,16.9,10.80,0.10,8.8
2018-05-10,28.1,17.8,10.74,0.00,10.7
2018-05-11,22.4,19.6,4.37,5.90,25.2
2018-05-12,21.1,15.7,9.69,0.00,21.0
2018-05-13,21.3,14.4,14.13,0.00,9.8
2018-05-14,24.8,11.9,14.61,0.00,11.2
2018-05-15,23.0,15.6,6.44,0.70,12.2
2018-05-16,19.7,13.3,9.20,1.30,14.7
2018-05-17,20.5,11.8,13.89,0.00,15.9
2018-05-18,18.3,15.4,3.52,32.80,19.3
2018-05-19,16.0,13.0,3.22,16.70,23.5
2018-05-20,14.7,10.3,6.67,0.10,25.1
2018-05-21,18.0,10.4,11.53,0.00,16.3
2018-05-22,17.6,10.0,11.95,0.00,16.6
2018-05-23,16.4,8.1,14.32,0.00,11.9
2018-05-24,17.5,5.4,14.05,0.00,9.1
2018-05-25,18.9,7.3,13.93,0.00,9.1
2018-05-26,21.6,9.0,12.50,0.00,8.1
2018-05-27,24.7,11.1,11.84,0.00,8.0
2018-05-28,26.4,13.1,13.20,0.00,11.9
2018-05-29,25.3,13.2,13.29,0.00,11.9
2018-05-30,26.1,15.8,12.26,0.00,14.8
2018-05-31,25.8,14.1,9.63,6.50,8.5
2018-06-01,21.1,17.1,4.14,13.40,12.0
2018-06-02,16.9,11.8,8.20,0.00,16.8
2018-06-03,15.1,8.9,6.56,0.00,11.4
2018-06-04,19.2,9.3,11.30,1.90,14.9
2018-06-05,16.9,13.9,6.99,0.50,19.9
2018-06-06,14.5,8.9,8.73,0.20,16.6
2018-06-07,15.8,7.8,12.81,0.00,20.0
2018-06-08,15.6,7.3,13.00,0.00,19.2
2018-06-09,18.9,4.6,12.92,0.00,10.9
2018-06-10,25.0,11.1,4.99,8.80,8.8
2018-06-11,26.4,18.1,6.10,27.70,25.1
2018-06-12,20.7,15.5,2.55,22.20,20.5
2018-06-13,15.5,10.0,10.09,0.00,32.0
2018-06-14,12.8,6.3,11.66,0.00,15.6
2018-06-15,12.3,5.8,10.63,0.00,9.5
2018-06-16,12.5,2.5,12.86,0.00,9.0
2018-06-17,14.1,2.6,10.43,0.00,7.0
2018-06-18,15.7,5.8,10.30,0.00,8.0
2018-06-19,19.8,8.4,11.62,0.00,8.6
2018-06-20,22.9,7.7,12.17,0.00,11.1
2018-06-21,24.8,9.4,10.54,4.40,23.4
2018-06-22,15.7,7.1,11.30,0.00,9.1
2018-06-23,25.7,8.6,9.84,7.60,18.3
2018-06-24,13.4,11.4,4.01,20.60,16.0
2018-06-25,13.3,11.0,2.01,19.10,14.2
2018-06-26,15.1,10.4,7.70,0.00,10.3
2018-06-27,19.6,7.3,10.02,0.00,7.6
2018-06-28,18.2,11.7,4.43,5.50,8.9
2018-06-29,22.6,13.7,7.93,12.20,9.5
2018-06-30,20.2,13.1,6.65,0.40,12.6
2018-07-01,22.7,11.8,10.78,0.00,12.8
2018-07-02,23.7,14.2,5.91,5.70,23.4
2018-07-03,13.8,10.6,7.30,0.40,19.2
2018-07-04,12.8,8.0,6.95,8.20,13.4
2018-07-05,14.1,10.3,2.03,6.90,9.9
2018-07-06,16.5,13.1,2.66,11.80,21.3
2018-07-07,25.2,13.3,6.63,1.10,22.0
2018-07-08,16.0,12.1,4.08,0.20,29.7
2018-07-09,13.5,10.9,2.06,15.40,20.9
2018-07-10,16.0,11.0,9.07,1.50,15.9
2018-07-11,15.6,9.7,7.81,0.50,8.6
2018-07-12,16.2,8.5,10.16,0.00,8.1
2018-07-13,18.9,5.7,12.66,0.00,8.7
2018-07-14,23.4,7.7,12.75,0.00,9.0
2018-07-15,27.2,13.3,10.76,0.90,19.3
2018-07-16,16.8,15.3,3.06,18.80,22.0
