
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,30.9,22.8,21.54,0.40,7.6
2018-01-02,32.3,22.3,24.95,1.80,10.0
2018-01-03,30.1,23.3,18.19,14.70,18.2
2018-01-04,29.9,22.5,20.71,4.30,11.9
2018-01-05,27.0,22.8,8.67,10.60,9.0
2018-01-06,28.6,22.3,13.06,4.00,8.9
2018-01-07,28.1,21.2,19.50,3.80,10.3
2018-01-08,29.7,21.9,23.58,2.30,9.2
2018-01-09,29.9,20.8,23.77,0.00,11.9
2018-01-10,30.2,21.0,25.09,1.30,16.3
2018-01-11,29.4,21.4,24.53,0.10,13.8
2018-01-12,31.6,20.5,25.46,0.60,15.2
2018-01-13,30.9,21.0,26.61,2.10,9.8
2018-01-14,30.0,21.1,22.75,3.20,12.5
2018-01-15,29.5,21.6,19.07,7.30,8.0
2018-01-16,30.9,21.0,23.47,1.20,8.6
2018-01-17,31.4,21.5,27.81,0.00,11.6
2018-01-18,30.7,23.6,23.64,0.00,12.2
2018-01-19,31.3,22.7,24.63,0.00,13.1
2018-01-20,31.6,22.4,23.78,0.00,11.8
2018-01-21,32.0,23.0,24.86,0.00,7.8
2018-01-22,33.2,22.0,24.80,0.00,9.0
2018-01-23,33.7,20.8,28.81,0.00,6.0
2018-01-24,32.7,22.8,27.16,0.20,9.5
2018-01-25,31.5,22.3,20.98,1.20,6.6
2018-01-26,29.9,22.5,20.52,6.60,8.9
2018-01-27,30.2,21.5,21.66,0.80,8.7
2018-01-28,30.2,22.3,20.86,6.70,11.2
2018-01-29,29.0,22.6,18.26,17.60,10.1
2018-01-30,30.4,22.0,16.45,5.60,11.3
2018-01-31,30.3,23.0,18.49,11.40,12.5
2018-02-01,28.0,22.7,12.20,23.20,12.0
2018-02-02,29.4,22.7,14.35,15.20,14.0
2018-02-03,27.1,22.5,7.71,53.60,10.7
2018-02-04,24.7,21.7,4.44,60.40,9.5
2018-02-05,28.1,20.4,16.18,3.90,12.6
2018-02-06,28.2,21.5,12.83,8.90,13.5
2018-02-07,29.6,21.5,19.59,1.40,10.2
2018-02-08,30.1,21.1,21.99,1.40,8.9
2018-02-09,30.9,21.6,24.18,3.40,12.6
2018-02-10,29.8,22.2,16.96,2.20,9.2
2018-02-11,30.5,21.3,21.84,0.10,6.0
2018-02-12,31.9,22.2,24.96,0.10,8.9
2018-02-13,31.9,21.2,25.82,0.00,9.0
2018-02-14,30.9,21.3,23.07,0.00,14.6
2018-02-15,30.2,19.6,26.10,0.00,15.3
2018-02-16,29.9,20.1,23.20,0.10,12.4
2018-02-17,29.7,20.7,22.45,0.20,13.7
2018-02-18,30.2,21.2,19.82,3.80,11.1
2018-02-19,29.1,21.8,20.63,2.80,8.2
2018-02-20,29.2,22.1,20.98,6.60,9.3
2018-02-21,30.5,21.9,21.55,18.80,9.2
2018-02-22,27.4,22.7,12.73,6.30,17.7
2018-02-23,29.3,20.8,17.51,0.00,9.5
2018-02-24,29.4,21.2,20.69,3.30,7.9
2018-02-25,30.7,21.7,23.21,12.50,10.2
2018-02-26,29.4,21.4,15.84,3.00,6.3
2018-02-27,31.0,21.6,22.33,2.00,6.3
2018-02-28,31.2,21.9,23.10,1.70,8.6
2018-03-01,32.7,22.3,27.66,0.00,9.3
2018-03-02,31.7,22.0,25.54,0.50,5.9
2018-03-03,31.4,21.7,21.45,4.30,7.0
2018-03-04,33.0,23.8,24.46,0.20,5.9
2018-03-05,32.3,22.8,23.12,0.00,8.2
2018-03-06,30.8,23.5,21.88,11.10,8.9
2018-03-07,31.0,23.4,16.05,7.80,9.5
2018-03-08,30.5,22.0,16.15,10.70,6.7
2018-03-09,29.0,22.8,14.21,32.20,7.7
2018-03-10,28.8,22.8,11.45,8.60,15.2
2018-03-11,27.0,22.7,6.47,20.40,13.1
2018-03-12,29.5,22.3,16.71,9.80,6.6
2018-03-13,31.4,21.8,20.51,3.00,8.2
2018-03-14,30.1,21.7,18.61,3.60,8.8
2018-03-15,31.6,22.4,20.99,0.90,7.8
2018-03-16,32.0,23.4,22.89,0.20,5.6
2018-03-17,27.5,22.3,14.80,8.80,7.8
2018-03-18,30.8,22.3,21.54,5.50,5.6
2018-03-19,30.5,22.5,21.37,3.70,8.7
2018-03-20,31.0,22.0,21.00,1.60,8.6
2018-03-21,31.5,22.8,20.23,6.50,7.2
2018-03-22,30.5,22.0,19.96,15.40,7.0
2018-03-23,30.0,22.0,20.64,16.50,8.5
2018-03-24,28.3,22.0,16.09,0.20,9.4
2018-03-25,29.7,21.8,22.52,0.80,12.2
2018-03-26,29.0,21.4,18.90,0.90,12.3
2018-03-27,29.9,18.9,23.89,0.00,13.0
2018-03-28,29.9,19.3,24.05,0.00,14.5
2018-03-29,28.9,19.1,22.18,0.00,15.1
2018-03-30,30.0,19.3,21.60,0.00,11.6
2018-03-31,29.8,20.5,20.30,0.20,10.6
2018-04-01,30.3,21.6,19.06,0.40,8.4
2018-04-02,28.9,22.1,16.49,3.10,5.4
2018-04-03,30.6,21.1,19.83,0.60,8.1
2018-04-04,29.9,21.9,16.41,8.20,9.3
