
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,29.8,23.5,23.95,4.20,11.6
2018-01-02,30.7,22.1,25.01,18.60,9.5
2018-01-03,23.8,21.4,6.87,24.00,8.4
2018-01-04,27.5,20.7,12.86,1.90,10.3
2018-01-05,28.6,22.0,17.72,3.50,14.5
2018-01-06,25.3,21.8,6.23,16.00,8.4
2018-01-07,26.8,20.8,11.83,18.60,12.1
2018-01-08,25.9,20.8,13.31,27.10,12.6
2018-01-09,25.3,20.4,10.36,8.40,15.5
2018-01-10,29.3,20.7,23.14,1.70,11.2
2018-01-11,29.3,20.6,23.01,10.90,7.8
2018-01-12,27.2,20.1,18.02,8.10,6.6
2018-01-13,28.6,21.4,20.24,3.20,11.6
2018-01-14,29.0,21.9,22.41,2.30,8.2
2018-01-15,29.1,21.0,24.83,0.70,6.3
2018-01-16,29.3,21.7,25.14,0.40,7.9
2018-01-17,29.9,21.5,24.97,0.40,6.9
2018-01-18,29.8,22.1,24.17,4.20,5.5
2018-01-19,31.1,21.8,24.24,0.00,10.8
2018-01-20,31.2,21.7,25.50,0.00,6.9
2018-01-21,31.2,22.3,26.25,0.10,9.0
2018-01-22,31.1,22.8,24.38,0.60,6.7
2018-01-23,30.4,22.8,23.52,2.80,8.3
2018-01-24,31.6,22.3,26.16,0.40,7.6
2018-01-25,29.7,22.1,22.79,12.10,9.0
2018-01-26,28.7,21.5,22.72,3.80,6.8
2018-01-27,26.9,21.1,11.82,21.50,8.0
2018-01-28,26.3,21.6,11.92,8.20,12.6
2018-01-29,27.8,21.2,15.36,8.70,11.4
2018-01-30,27.9,22.1,15.90,9.80,9.2
2018-01-31,28.9,22.1,18.43,18.00,10.2
2018-02-01,26.8,22.4,14.76,16.70,5.5
2018-02-02,27.1,22.0,12.18,14.20,9.4
2018-02-03,27.2,21.8,6.28,89.20,7.1
2018-02-04,29.4,21.2,21.65,3.40,12.1
2018-02-05,29.9,21.2,23.53,4.10,7.4
2018-02-06,29.6,21.8,23.81,1.70,10.8
2018-02-07,29.1,22.3,23.00,5.30,14.8
2018-02-08,28.3,21.6,20.86,9.30,11.9
2018-02-09,29.6,22.6,23.19,10.20,10.9
2018-02-10,25.9,22.1,8.69,22.20,10.9
2018-02-11,25.3,21.6,10.13,20.70,9.7
2018-02-12,26.8,21.6,17.99,11.10,9.7
2018-02-13,29.5,21.3,21.94,7.10,8.6
2018-02-14,29.4,21.1,19.81,7.80,7.3
2018-02-15,29.3,21.5,22.91,3.70,8.8
2018-02-16,30.2,21.2,25.19,0.20,8.3
2018-02-17,29.8,21.6,23.11,0.80,5.0
2018-02-18,27.9,21.7,21.46,2.90,9.4
2018-02-19,27.8,21.8,16.86,11.20,17.7
2018-02-20,28.8,22.1,20.97,1.70,13.1
2018-02-21,27.2,22.1,12.72,16.50,11.1
2018-02-22,26.9,21.0,14.04,15.10,9.7
2018-02-23,26.9,20.8,13.33,18.00,8.4
2018-02-24,26.0,20.9,11.60,3.80,11.3
2018-02-25,28.2,20.7,21.90,3.60,8.2
2018-02-26,28.3,21.0,19.41,11.60,7.8
2018-02-27,29.3,21.6,23.51,0.90,8.1
2018-02-28,30.1,20.9,23.63,2.90,8.1
2018-03-01,30.4,21.9,22.53,1.40,6.6
