
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,29.6,21.7,18.91,1.70,11.9
2018-01-02,31.0,23.5,18.73,10.80,16.8
2018-01-03,26.7,22.2,24.48,4.60,9.5
2018-01-04,29.6,19.7,28.39,0.00,12.0
2018-01-05,29.0,21.9,29.43,0.00,14.6
2018-01-06,31.5,21.2,26.40,10.00,17.8
2018-01-07,23.5,21.1,12.39,3.60,15.9
2018-01-08,24.8,19.9,19.67,0.10,14.6
2018-01-09,24.1,20.9,6.79,11.50,10.7
2018-01-10,23.7,21.9,4.51,40.30,7.6
2018-01-11,26.7,21.8,9.62,21.40,7.3
2018-01-12,28.3,22.0,23.12,9.10,7.5
2018-01-13,28.2,21.5,21.38,12.40,8.4
2018-01-14,31.1,21.6,21.78,1.50,11.5
2018-01-15,30.9,24.5,14.29,1.30,17.0
2018-01-16,26.6,23.4,11.74,58.80,9.2
2018-01-17,27.4,22.9,16.47,47.90,9.9
2018-01-18,32.8,23.6,25.26,7.00,16.6
2018-01-19,25.7,22.9,10.11,1.70,12.7
2018-01-20,26.7,20.6,27.89,0.00,12.0
2018-01-21,25.6,22.0,10.70,8.20,13.1
2018-01-22,30.4,23.5,17.12,7.60,10.8
2018-01-23,33.4,23.7,25.01,1.60,11.6
2018-01-24,31.7,24.0,22.79,12.90,9.7
2018-01-25,27.5,23.0,19.01,0.50,17.7
2018-01-26,24.2,22.4,10.08,0.10,12.8
2018-01-27,25.6,22.4,14.65,0.40,13.0
2018-01-28,27.6,22.1,16.93,1.60,14.2
2018-01-29,28.1,21.9,22.83,2.30,18.9
2018-01-30,26.6,19.5,26.28,0.90,16.6
2018-01-31,26.1,21.7,22.20,1.50,13.5
2018-02-01,25.5,20.7,20.19,0.90,12.7
2018-02-02,28.0,18.5,28.07,0.00,11.6
2018-02-03,27.2,19.3,23.81,0.20,19.3
2018-02-04,25.2,20.0,18.74,0.30,13.5
2018-02-05,25.7,18.9,21.85,1.80,8.0
2018-02-06,26.9,20.7,24.22,0.30,9.7
2018-02-07,27.8,22.2,23.22,5.00,8.4
2018-02-08,28.2,20.6,23.51,1.00,12.5
2018-02-09,30.8,23.8,23.58,0.90,13.0
2018-02-10,31.6,23.9,22.38,17.50,8.9
2018-02-11,27.5,23.7,14.88,45.10,9.4
2018-02-12,24.4,21.2,13.24,5.10,21.3
2018-02-13,24.0,20.4,15.36,0.00,15.1
2018-02-14,24.7,19.4,17.59,0.00,11.1
2018-02-15,24.5,18.9,12.50,0.20,8.7
2018-02-16,25.8,18.0,18.64,0.00,9.4
2018-02-17,26.1,19.8,20.12,0.60,9.2
2018-02-18,27.3,19.9,22.81,0.40,12.7
2018-02-19,26.7,21.8,10.49,13.10,10.5
2018-02-20,30.1,22.6,19.92,9.80,17.8
2018-02-21,27.4,22.4,18.57,14.00,7.7
2018-02-22,25.9,21.3,22.43,4.00,9.4
2018-02-23,26.1,19.7,21.91,1.40,14.8
2018-02-24,25.1,19.8,18.19,2.90,10.9
2018-02-25,26.7,19.7,21.17,2.80,8.3
2018-02-26,27.9,20.6,23.21,5.10,7.7
2018-02-27,28.9,20.9,23.08,2.90,8.6
2018-02-28,28.5,21.8,16.45,10.60,5.8
2018-03-01,28.7,22.5,20.87,3.50,11.8
2018-03-02,27.5,23.4,12.55,18.20,9.7
2018-03-03,27.6,21.5,19.84,1.70,10.0
2018-03-04,26.1,21.9,11.03,16.80,6.6
2018-03-05,29.2,20.9,20.67,10.50,5.2
2018-03-06,29.2,21.5,21.10,1.40,11.9
2018-03-07,24.4,21.5,15.14,0.90,14.0
2018-03-08,25.2,19.5,17.35,0.00,10.2
2018-03-09,26.7,19.5,17.37,0.10,10.4
2018-03-10,27.5,21.7,16.84,4.30,11.8
2018-03-11,31.4,22.4,23.32,0.00,7.5
2018-03-12,25.2,21.3,12.87,5.00,11.2
2018-03-13,26.1,20.1,17.93,0.10,12.4
2018-03-14,28.4,23.0,11.44,10.10,9.0
2018-03-15,30.4,23.5,12.47,0.00,16.5
2018-03-16,26.7,21.7,21.18,0.20,12.7
2018-03-17,27.9,20.9,17.28,0.00,12.2
2018-03-18,29.1,23.1,16.78,0.60,15.1
2018-03-19,31.1,21.8,17.77,9.40,12.7
2018-03-20,23.1,21.2,6.25,5.70,8.4
2018-03-21,24.4,21.0,11.98,2.00,13.0
2018-03-22,24.7,19.6,15.17,0.10,10.5
2018-03-23,28.1,21.3,16.91,0.20,14.8
2018-03-24,29.0,24.1,16.52,1.60,15.7
2018-03-25,30.4,22.1,14.29,5.80,16.3
2018-03-26,22.1,20.6,3.75,15.20,15.5
2018-03-27,24.6,20.5,7.32,7.80,7.8
2018-03-28,25.1,20.7,7.73,8.30,6.4
2018-03-29,25.7,20.7,7.26,11.30,4.7
2018-03-30,26.5,21.0,14.68,5.80,8.4
2018-03-31,26.4,21.4,11.23,24.70,8.4
2018-04-01,29.4,21.4,17.02,3.30,11.4
2018-04-02,29.3,22.1,18.85,0.00,14.1
2018-04-03,26.5,21.1,17.72,8.50,10.5
2018-04-04,25.0,20.0,15.54,4.00,6.3
