
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,28.7,25.6,23.77,1.90,22.3
2018-01-02,28.6,25.7,22.20,0.00,19.2
2018-01-03,28.6,25.8,25.03,0.00,18.0
2018-01-04,29.0,25.6,24.52,0.00,20.3
2018-01-05,28.5,26.2,22.67,0.40,21.0
2018-01-06,28.4,24.6,23.07,2.70,23.8
2018-01-07,28.8,25.1,23.54,1.00,23.0
2018-01-08,28.6,25.5,22.32,1.80,25.3
2018-01-09,28.3,24.6,22.33,2.20,26.4
2018-01-10,26.8,24.9,17.07,2.50,23.7
2018-01-11,27.8,23.8,21.91,2.80,19.8
2018-01-12,28.6,25.6,23.21,0.10,21.1
2018-01-13,28.3,25.7,20.21,2.40,25.9
2018-01-14,28.8,24.9,21.84,3.80,25.9
2018-01-15,27.2,24.4,19.52,4.50,26.8
2018-01-16,28.8,25.6,23.53,0.10,30.3
2018-01-17,28.6,24.9,21.59,2.00,30.2
2018-01-18,27.3,24.4,22.62,3.40,28.5
2018-01-19,27.1,24.4,18.80,16.70,22.0
2018-01-20,27.7,24.4,19.66,6.80,21.2
2018-01-21,28.2,24.4,22.83,2.40,25.9
2018-01-22,28.6,25.0,19.66,1.60,25.7
2018-01-23,26.7,24.9,13.40,9.50,20.7
2018-01-24,27.9,25.0,16.17,2.80,22.6
2018-01-25,28.4,25.5,23.47,1.10,20.2
2018-01-26,28.6,25.8,20.69,0.00,20.9
2018-01-27,28.2,26.1,24.18,0.70,22.3
2018-01-28,28.8,25.3,24.48,0.30,22.7
2018-01-29,28.5,26.1,15.94,0.70,23.0
2018-01-30,29.2,26.5,25.42,0.30,24.5
2018-01-31,28.7,26.3,24.71,0.90,25.8
2018-02-01,28.7,26.3,23.36,0.20,26.3
2018-02-02,29.2,26.1,23.59,2.50,24.4
2018-02-03,29.0,26.1,24.45,0.70,22.4
2018-02-04,29.3,25.7,26.73,0.20,24.0
2018-02-05,29.1,26.3,24.30,0.00,23.1
2018-02-06,29.2,26.7,23.95,1.60,23.6
2018-02-07,29.3,26.3,24.42,2.70,24.8
2018-02-08,27.8,25.8,21.62,7.00,22.6
2018-02-09,28.0,24.4,21.41,10.40,21.4
2018-02-10,27.0,24.4,21.60,8.30,21.3
2018-02-11,28.9,24.8,19.94,1.80,24.3
2018-02-12,28.4,25.1,22.43,3.20,17.4
2018-02-13,27.8,24.5,21.66,5.40,19.9
2018-02-14,26.1,24.2,11.64,38.10,20.3
2018-02-15,28.3,24.1,15.40,8.50,21.3
2018-02-16,26.9,24.4,14.01,19.60,23.4
2018-02-17,26.6,24.5,13.56,18.50,20.9
2018-02-18,28.4,24.6,22.44,3.80,17.3
2018-02-19,28.1,24.9,23.03,2.00,19.4
2018-02-20,28.8,25.4,24.20,2.10,19.1
2018-02-21,28.9,25.5,25.55,1.40,19.7
2018-02-22,27.7,24.9,19.88,8.00,21.2
2018-02-23,28.5,24.4,21.27,1.30,16.3
2018-02-24,28.8,25.2,22.41,0.90,20.4
2018-02-25,27.8,25.5,23.14,1.80,19.1
2018-02-26,28.4,25.4,24.87,0.00,17.6
2018-02-27,28.6,25.2,22.80,2.00,25.0
2018-02-28,27.6,25.4,19.08,5.10,20.0
2018-03-01,26.7,24.7,14.93,16.40,17.3
2018-03-02,28.1,24.3,18.13,7.80,14.2
2018-03-03,28.1,24.1,22.60,7.30,16.9
2018-03-04,28.8,26.1,22.97,1.60,20.9
2018-03-05,28.5,26.1,20.27,3.70,17.8
2018-03-06,28.5,25.3,23.97,2.40,17.7
2018-03-07,29.1,26.4,25.40,0.00,17.8
2018-03-08,29.1,25.9,24.95,0.00,17.2
2018-03-09,28.7,26.0,22.24,0.90,17.4
2018-03-10,28.9,25.7,23.19,1.00,17.1
2018-03-11,29.3,26.3,24.24,0.00,18.0
2018-03-12,29.6,26.2,23.85,1.70,18.4
2018-03-13,29.1,26.3,22.85,2.70,20.4
2018-03-14,28.9,27.0,21.78,0.80,23.7
2018-03-15,29.1,26.3,21.70,0.10,21.1
2018-03-16,29.0,25.9,24.04,0.00,19.5
2018-03-17,29.0,26.0,25.11,0.00,19.9
2018-03-18,29.3,26.1,23.41,0.70,23.0
2018-03-19,29.1,26.6,23.25,0.00,22.8
2018-03-20,29.4,26.6,22.46,0.00,19.5
2018-03-21,29.0,26.5,21.00,0.10,23.7
2018-03-22,29.2,26.6,20.97,1.70,22.8
2018-03-23,29.1,26.7,24.95,0.00,19.5
2018-03-24,29.3,26.0,21.75,1.30,21.3
2018-03-25,28.2,25.0,20.10,1.70,22.1
2018-03-26,28.1,25.2,19.26,6.40,16.8
2018-03-27,28.8,25.3,14.28,2.70,22.5
2018-03-28,26.8,24.8,18.22,20.70,21.7
2018-03-29,26.1,24.5,9.85,18.10,14.3
2018-03-30,27.3,24.4,9.80,57.80,15.9
2018-03-31,28.3,24.8,21.55,1.70,18.8
2018-04-01,29.0,25.4,21.84,13.20,22.4
2018-04-02,27.8,24.9,17.00,11.50,19.0
2018-04-03,28.0,25.1,19.56,6.00,20.4
2018-04-04,29.1,26.2,23.40,1.80,21.7
2018-04-05,29.1,25.4,22.38,2.60,20.8
2018-04-06,28.0,25.2,19.02,4.30,14.2
2018-04-07,28.1,25.2,20.64,2.60,17.0
2018-04-08,27.4,24.9,19.51,5.60,19.0
2018-04-09,27.4,24.4,17.13,9.10,24.0
2018-04-10,28.0,24.7,20.42,8.20,20.2
2018-04-11,26.5,24.5,3.24,35.90,21.9
2018-04-12,26.7,24.6,11.80,18.90,20.4
2018-04-13,26.9,24.4,15.66,12.40,15.1
2018-04-14,27.6,24.1,18.68,9.30,16.5
2018-04-15,28.2,24.9,21.80,3.30,19.9
2018-04-16,26.4,24.6,18.31,8.60,24.7
2018-04-17,27.1,24.1,16.43,10.70,23.8
2018-04-18,28.8,24.8,23.54,1.60,22.2
2018-04-19,28.4,24.9,21.23,0.40,23.0
2018-04-20,28.1,25.0,21.09,0.40,22.9
2018-04-21,27.5,24.7,20.18,2.70,19.7
