
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,29.6,25.0,24.12,0.30,14.8
2018-01-02,29.8,24.7,23.37,0.00,17.6
2018-01-03,29.8,24.8,22.12,0.00,14.5
2018-01-04,30.2,24.9,23.73,0.00,15.9
2018-01-05,28.9,25.1,21.57,1.70,16.8
2018-01-06,29.2,23.6,21.75,1.40,18.1
2018-01-07,27.9,23.2,21.44,2.10,16.4
2018-01-08,27.9,23.4,20.15,1.90,17.5
2018-01-09,29.5,24.4,22.75,0.00,15.8
2018-01-10,28.4,24.1,20.22,2.20,16.7
2018-01-11,28.4,23.5,20.45,3.70,14.5
2018-01-12,27.9,23.1,22.39,1.60,16.5
2018-01-13,29.1,24.0,22.95,2.50,17.9
2018-01-14,26.6,23.8,14.36,3.50,17.7
2018-01-15,27.1,24.1,16.17,4.20,19.3
2018-01-16,28.4,24.3,25.32,0.40,20.7
2018-01-17,28.4,23.5,20.75,5.10,21.6
2018-01-18,27.1,23.2,17.20,2.50,18.4
2018-01-19,27.1,23.5,13.26,8.00,14.0
2018-01-20,29.1,24.3,23.46,1.40,15.9
2018-01-21,28.3,24.0,22.97,1.20,17.8
2018-01-22,28.3,24.2,18.84,1.80,19.0
2018-01-23,27.3,23.6,17.24,3.20,15.5
2018-01-24,27.7,23.8,18.19,1.40,16.7
2018-01-25,28.4,24.2,21.55,2.10,14.6
2018-01-26,28.7,24.6,22.01,0.70,14.4
2018-01-27,28.8,24.6,20.92,0.40,13.8
2018-01-28,27.8,24.7,20.57,1.30,15.2
2018-01-29,28.1,23.8,20.01,3.40,15.1
2018-01-30,29.4,24.9,23.85,0.10,15.8
2018-01-31,29.2,25.1,22.60,1.10,18.8
2018-02-01,28.8,25.0,20.59,2.50,18.6
2018-02-02,28.8,25.0,21.98,1.20,15.9
2018-02-03,29.0,24.6,22.27,0.00,15.3
2018-02-04,29.2,24.6,22.64,0.00,14.9
2018-02-05,29.1,24.9,22.42,1.00,15.2
2018-02-06,29.4,25.2,21.16,1.20,16.9
2018-02-07,29.8,25.1,24.35,0.50,17.2
2018-02-08,29.6,25.8,23.67,0.40,16.8
2018-02-09,28.0,23.9,17.99,5.40,15.0
2018-02-10,27.9,23.9,19.12,2.60,17.5
2018-02-11,27.8,24.7,19.72,0.40,18.2
2018-02-12,28.3,24.2,20.08,5.10,13.1
2018-02-13,27.5,23.6,18.51,3.30,15.4
2018-02-14,27.5,23.4,14.99,10.80,16.8
2018-02-15,28.0,24.2,18.14,3.30,15.5
2018-02-16,27.2,24.2,17.61,7.00,18.6
2018-02-17,27.6,24.0,18.02,5.90,17.1
2018-02-18,27.3,23.5,18.33,4.70,16.4
2018-02-19,27.6,23.3,19.18,1.40,14.4
2018-02-20,27.6,23.8,17.76,2.30,12.5
2018-02-21,28.2,23.9,20.63,2.60,14.1
2018-02-22,28.6,24.1,20.33,3.60,13.7
2018-02-23,28.2,22.8,19.78,1.60,13.9
2018-02-24,28.2,24.8,19.94,1.70,15.0
2018-02-25,27.4,23.8,19.15,1.30,12.7
2018-02-26,28.9,23.3,24.76,0.90,13.0
2018-02-27,27.5,24.6,21.24,0.70,17.9
2018-02-28,27.2,24.5,15.09,10.50,12.6
2018-03-01,27.4,23.4,18.29,1.90,14.4
2018-03-02,28.7,23.6,20.49,9.80,11.3
2018-03-03,27.8,23.8,18.25,3.90,11.6
2018-03-04,28.7,25.0,21.24,1.40,15.2
2018-03-05,28.6,24.9,18.33,3.40,13.2
2018-03-06,29.3,24.5,22.05,1.20,14.3
2018-03-07,30.2,25.1,25.00,0.20,17.0
2018-03-08,29.9,24.9,23.85,0.70,17.3
2018-03-09,29.4,24.8,22.76,0.60,14.2
2018-03-10,29.2,24.8,22.33,1.00,15.0
2018-03-11,30.1,25.2,23.44,0.60,15.5
2018-03-12,30.6,25.5,22.78,0.70,20.2
2018-03-13,30.7,25.7,23.76,0.00,16.8
2018-03-14,30.1,25.4,23.44,0.10,15.4
2018-03-15,29.3,24.5,23.10,1.20,16.8
2018-03-16,28.1,23.8,20.53,1.80,12.1
2018-03-17,30.1,24.8,24.14,0.00,15.9
2018-03-18,29.5,24.9,21.24,0.10,14.4
2018-03-19,29.6,25.2,21.96,0.00,15.0
2018-03-20,29.6,25.5,22.55,0.00,13.0
2018-03-21,29.0,25.7,20.55,0.20,15.5
2018-03-22,28.9,25.7,18.91,0.60,15.9
2018-03-23,30.1,24.9,23.34,0.20,14.9
2018-03-24,27.6,24.1,13.82,7.60,16.4
2018-03-25,27.4,23.7,17.52,2.70,15.6
2018-03-26,28.1,24.3,20.06,0.70,14.3
2018-03-27,28.3,24.4,20.30,3.70,18.9
2018-03-28,27.4,23.5,15.23,5.30,15.3
2018-03-29,25.4,23.7,9.11,14.00,11.9
2018-03-30,27.5,23.3,15.25,7.80,7.9
2018-03-31,28.1,23.1,18.86,0.60,12.3
2018-04-01,27.4,23.8,20.03,4.60,15.0
2018-04-02,28.2,23.3,20.73,1.60,15.5
2018-04-03,28.7,24.3,20.83,1.00,14.7
2018-04-04,28.2,25.2,17.42,1.20,14.6
2018-04-05,28.4,24.0,19.27,2.50,14.9
2018-04-06,27.2,24.0,13.63,4.20,12.0
2018-04-07,27.7,22.8,16.34,4.90,12.7
2018-04-08,27.0,23.0,16.14,3.70,14.5
2018-04-09,27.5,22.8,18.69,6.30,15.2
2018-04-10,28.0,24.3,18.35,0.70,18.1
