
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,26.9,22.7,11.96,18.70,11.1
2018-01-02,30.1,22.6,19.50,4.00,12.8
2018-01-03,28.8,22.6,16.73,7.20,7.4
2018-01-04,30.3,22.3,18.01,0.50,8.3
2018-01-05,30.6,22.5,21.71,0.80,11.8
2018-01-06,29.6,23.1,19.99,25.30,11.1
2018-01-07,25.0,22.6,6.93,13.60,10.9
2018-01-08,25.9,21.8,12.00,29.80,7.7
2018-01-09,27.3,21.6,11.74,16.50,7.4
2018-01-10,26.3,21.5,13.46,26.90,11.6
2018-01-11,26.7,21.4,12.06,4.80,10.9
2018-01-12,29.5,21.3,18.50,4.00,8.6
2018-01-13,29.8,22.5,21.94,0.60,11.0
2018-01-14,26.5,22.4,11.46,10.80,11.0
2018-01-15,30.5,22.6,20.83,15.50,7.2
2018-01-16,24.4,22.1,6.93,97.70,5.9
2018-01-17,27.3,21.7,13.20,9.60,6.3
2018-01-18,27.7,22.0,13.46,9.90,9.0
2018-01-19,28.1,22.0,15.74,1.80,9.2
2018-01-20,30.8,22.0,21.81,3.90,4.7
2018-01-21,30.5,23.2,22.14,1.20,6.3
2018-01-22,29.7,22.5,18.96,11.30,8.7
2018-01-23,28.3,22.6,15.36,11.10,8.6
2018-01-24,30.5,23.3,18.68,7.10,7.9
2018-01-25,28.7,22.9,17.07,10.30,7.2
2018-01-26,29.8,22.8,18.63,3.20,12.3
2018-01-27,30.8,23.0,21.05,9.10,13.2
2018-01-28,31.1,24.1,20.10,3.60,11.8
2018-01-29,29.6,23.6,19.08,11.20,11.3
2018-01-30,30.9,23.0,20.28,3.10,11.9
2018-01-31,31.1,23.1,22.31,13.80,13.0
2018-02-01,30.8,23.6,17.82,8.40,13.7
2018-02-02,27.8,23.3,15.80,14.50,8.2
2018-02-03,30.6,23.2,20.13,7.30,8.0
2018-02-04,26.4,22.6,8.63,14.40,7.2
2018-02-05,26.4,23.1,8.50,19.40,8.0
2018-02-06,31.5,22.7,21.41,0.50,9.4
2018-02-07,30.8,23.4,21.03,3.00,11.8
2018-02-08,30.6,24.0,16.60,4.20,9.4
2018-02-09,28.7,22.4,17.52,29.10,8.8
2018-02-10,29.9,22.6,19.91,13.60,9.7
2018-02-11,30.1,23.1,17.18,8.10,11.5
2018-02-12,30.7,22.9,20.99,4.10,10.4
2018-02-13,26.3,22.7,8.24,23.70,6.8
2018-02-14,25.5,22.3,9.01,9.50,10.9
2018-02-15,29.4,22.0,18.12,9.20,8.5
2018-02-16,29.9,21.8,21.77,0.40,5.8
2018-02-17,30.6,22.9,20.26,3.40,5.8
2018-02-18,28.9,23.0,17.11,5.20,10.2
2018-02-19,27.7,22.4,15.51,10.30,13.9
2018-02-20,26.0,22.8,11.88,8.50,13.0
2018-02-21,30.4,22.5,22.58,4.60,10.4
2018-02-22,27.3,22.9,15.21,20.00,7.4
2018-02-23,28.3,21.9,13.13,20.60,9.4
2018-02-24,26.5,21.9,8.86,12.50,10.1
2018-02-25,23.5,21.0,5.92,35.50,10.4
2018-02-26,29.4,21.0,20.18,11.40,10.4
2018-02-27,30.6,21.1,26.00,0.00,8.7
2018-02-28,31.4,22.4,23.61,1.40,10.8
2018-03-01,31.4,23.5,20.98,8.50,7.8
2018-03-02,29.6,22.4,15.87,18.60,10.5
2018-03-03,31.4,22.7,22.71,0.90,5.1
2018-03-04,31.1,23.0,20.00,2.90,6.6
2018-03-05,30.9,23.2,20.44,2.20,8.7
2018-03-06,28.4,24.1,15.65,11.80,6.8
2018-03-07,25.8,23.0,8.89,16.20,5.4
2018-03-08,29.8,22.2,19.02,0.80,7.0
2018-03-09,27.7,23.2,16.50,12.10,8.4
2018-03-10,30.1,22.4,17.75,7.50,12.3
2018-03-11,31.1,23.1,19.74,3.10,9.4
2018-03-12,29.3,22.8,14.44,18.10,10.4
2018-03-13,29.9,23.2,18.40,5.90,11.2
2018-03-14,28.9,22.6,17.14,11.00,13.3
2018-03-15,30.2,22.8,19.66,2.90,11.2
2018-03-16,30.9,23.9,18.00,2.80,13.2
2018-03-17,29.6,23.0,18.66,7.20,8.9
2018-03-18,30.6,22.8,19.22,3.90,10.4
2018-03-19,31.6,22.9,24.62,0.00,9.4
2018-03-20,27.8,23.1,11.48,14.20,8.7
2018-03-21,28.1,23.0,13.04,4.10,6.9
2018-03-22,29.5,22.2,14.86,3.20,9.9
2018-03-23,29.7,22.6,17.11,0.20,14.4
2018-03-24,31.4,22.9,23.48,0.00,10.4
2018-03-25,28.1,23.6,14.91,8.70,8.2
2018-03-26,24.3,20.2,8.36,0.40,14.6
2018-03-27,27.3,19.8,15.80,0.00,7.9
2018-03-28,27.7,20.0,17.46,0.00,7.4
2018-03-29,30.2,21.4,22.58,0.20,7.1
2018-03-30,28.8,22.2,17.25,2.30,7.2
2018-03-31,28.6,22.0,15.27,10.00,5.6
2018-04-01,28.5,21.9,15.94,8.50,4.7
2018-04-02,30.7,21.8,19.83,7.30,7.7
2018-04-03,27.1,22.5,12.33,18.60,9.5
2018-04-04,28.1,21.8,13.13,4.70,7.1
2018-04-05,29.5,22.4,18.57,1.70,7.8
2018-04-06,29.8,22.3,19.50,6.90,9.7
2018-04-07,26.7,22.8,10.36,14.90,8.2
2018-04-08,28.2,21.9,15.36,7.40,8.7
2018-04-09,27.5,22.3,14.78,7.10,5.4
2018-04-10,28.1,22.3,15.20,14.40,7.1
2018-04-11,30.2,22.8,18.37,0.90,9.1
2018-04-12,25.6,22.7,9.23,15.50,14.1
2018-04-13,26.9,21.7,11.21,7.30,7.3
2018-04-14,25.6,22.0,9.69,7.20,13.1
2018-04-15,27.8,22.4,15.07,2.60,14.8
2018-04-16,27.6,21.7,16.15,1.50,15.1
2018-04-17,29.0,21.3,18.39,1.70,5.9
2018-04-18,29.6,22.1,20.67,0.10,9.6
2018-04-19,29.5,21.7,18.22,3.30,4.9
2018-04-20,29.5,22.2,15.94,4.50,8.5
2018-04-21,28.5,22.1,15.84,2.40,5.5
2018-04-22,30.0,22.1,20.43,8.50,3.8
2018-04-23,30.3,23.1,16.80,1.00,8.2
2018-04-24,31.1,23.0,19.84,1.30,8.7
2018-04-25,28.7,22.4,12.97,7.60,8.3
2018-04-26,30.1,22.0,19.52,0.10,6.0
