
time,temperature_2m_max (°C),temperature_2m_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),windspeed_10m_max (km/h)
2018-01-01,26.0,19.9,20.43,1.90,19.4
2018-01-02,26.0,19.7,14.03,1.20,22.4
2018-01-03,22.3,17.6,7.42,34.40,22.1
2018-01-04,24.5,17.1,30.91,0.00,15.7
2018-01-05,25.0,15.9,27.43,0.20,14.0
2018-01-06,25.7,18.1,22.37,18.00,13.9
2018-01-07,19.9,17.0,11.37,6.30,16.6
2018-01-08,19.7,16.8,5.01,31.70,13.0
2018-01-09,22.8,17.2,13.01,14.70,10.8
2018-01-10,25.7,17.7,20.55,1.50,11.8
2018-01-11,26.9,18.8,17.93,10.40,12.1
2018-01-12,25.1,18.0,17.41,17.80,20.1
2018-01-13,25.6,18.2,20.15,3.90,19.6
2018-01-14,28.0,19.3,25.79,2.80,18.5
2018-01-15,27.5,19.8,21.15,2.00,23.9
2018-01-16,25.7,19.3,14.17,22.90,11.8
2018-01-17,27.3,19.2,18.98,1.60,6.8
2018-01-18,28.8,19.6,24.21,3.30,18.5
2018-01-19,26.6,19.9,18.49,9.30,10.6
2018-01-20,22.8,19.6,12.34,13.80,11.4
2018-01-21,24.9,19.1,18.92,10.90,7.7
2018-01-22,28.8,19.5,25.78,2.10,8.6
2018-01-23,30.6,20.0,28.19,6.60,12.0
2018-01-24,28.4,20.2,19.95,10.30,9.9
2018-01-25,24.9,19.1,18.26,8.10,16.9
2018-01-26,22.7,17.8,16.41,3.00,19.6
2018-01-27,21.4,16.9,16.22,1.80,18.6
2018-01-28,26.5,17.4,21.68,5.60,9.2
2018-01-29,26.6,19.9,15.33,25.70,12.0
2018-01-30,20.5,17.0,9.00,13.00,13.8
2018-01-31,22.9,16.8,24.17,0.60,17.6
2018-02-01,22.5,15.9,22.76,0.50,16.4
2018-02-02,23.7,16.7,20.38,0.50,16.4
2018-02-03,22.2,16.3,22.51,2.30,20.9
2018-02-04,22.6,14.3,22.67,0.40,18.8
2018-02-05,20.6,16.1,19.29,2.10,18.6
2018-02-06,21.8,16.6,17.85,3.70,12.6
2018-02-07,23.5,16.3,27.21,0.00,12.1
2018-02-08,25.6,15.8,27.37,0.20,11.6
2018-02-09,28.2,17.1,27.53,0.00,10.4
2018-02-10,28.4,18.8,21.39,7.00,18.6
2018-02-11,28.6,19.2,22.46,2.70,11.0
2018-02-12,28.2,19.6,18.98,10.60,22.8
2018-02-13,19.1,16.7,8.97,10.70,22.3
2018-02-14,19.4,16.1,9.08,11.30,17.8
2018-02-15,20.3,15.4,13.38,4.00,19.5
2018-02-16,21.9,17.1,15.36,2.10,14.7
2018-02-17,22.2,16.6,18.28,1.50,15.4
2018-02-18,23.1,17.3,12.67,14.30,5.9
2018-02-19,26.1,17.2,18.21,11.30,16.9
2018-02-20,25.9,19.5,18.80,6.80,26.5
2018-02-21,26.8,19.8,22.47,3.00,20.9
2018-02-22,25.8,18.2,21.65,2.70,12.8
2018-02-23,22.4,17.3,22.29,3.30,17.7
2018-02-24,22.5,16.6,22.30,0.00,19.0
2018-02-25,22.6,15.7,23.01,2.80,17.1
2018-02-26,23.2,16.4,18.03,13.80,9.4
2018-02-27,23.3,17.9,15.79,2.90,11.0
2018-02-28,26.3,17.6,24.35,0.50,14.2
2018-03-01,25.8,18.8,19.49,10.70,9.4
2018-03-02,27.3,20.0,18.01,18.20,13.3
2018-03-03,23.3,19.5,14.52,7.90,12.5
2018-03-04,25.0,19.0,20.25,13.90,12.3
2018-03-05,25.7,19.3,20.62,11.50,12.9
2018-03-06,25.6,18.8,17.93,5.20,10.6
2018-03-07,25.1,19.4,16.32,20.70,13.1
2018-03-08,21.5,18.0,12.18,1.60,15.2
2018-03-09,22.9,17.7,15.81,1.60,15.5
2018-03-10,23.3,17.9,13.30,6.80,13.0
2018-03-11,25.9,17.9,23.02,0.40,9.4
2018-03-12,28.4,18.4,22.14,0.10,15.0
2018-03-13,25.1,19.7,15.82,1.20,10.8
2018-03-14,30.2,19.8,20.35,2.30,17.3
2018-03-15,30.4,20.3,21.80,2.00,19.9
2018-03-16,24.6,20.3,15.51,9.40,13.5
2018-03-17,24.8,19.3,19.04,1.00,13.9
2018-03-18,25.9,18.4,20.97,0.40,11.7
2018-03-19,29.9,18.8,21.74,2.60,10.4
2018-03-20,26.4,20.0,12.52,48.50,9.8
2018-03-21,22.7,18.9,12.57,10.00,13.8
2018-03-22,21.4,17.6,13.81,1.20,13.9
2018-03-23,25.9,18.8,19.33,8.30,10.0
2018-03-24,27.2,18.4,21.21,0.30,12.6
2018-03-25,27.7,19.7,22.12,0.00,14.3
2018-03-26,25.6,19.1,12.87,4.10,15.9
2018-03-27,25.1,18.7,16.26,26.90,8.7
2018-03-28,25.3,18.7,16.61,13.00,9.8
2018-03-29,24.4,18.5,15.69,25.60,9.8
2018-03-30,24.9,18.7,14.54,10.80,9.4
2018-03-31,26.0,18.8,15.18,1.80,8.5
2018-04-01,25.7,19.1,16.77,5.30,18.4
2018-04-02,24.0,19.3,11.48,4.50,23.7
2018-04-03,23.8,18.3,15.15,26.00,9.9
2018-04-04,22.8,16.6,17.52,0.70,12.4
2018-04-05,23.1,16.8,18.79,1.00,13.6
2018-04-06,23.0,16.8,18.22,1.30,14.3
2018-04-07,23.4,16.8,19.39,0.20,15.0
2018-04-08,24.4,17.1,19.25,0.00,14.5
2018-04-09,23.1,16.7,17.82,0.40,14.4
2018-04-10,23.7,16.5,19.20,0.00,12.7
2018-04-11,24.3,16.5,20.13,0.00,13.0
2018-04-12,25.5,16.5,20.03,0.00,10.0
2018-04-13,26.2,17.2,19.95,0.00,13.6
2018-04-14,22.0,17.3,14.67,1.70,15.6
2018-04-15,19.0,16.2,7.07,7.00,17.2
2018-04-16,18.4,15.3,10.19,3.20,20.2
2018-04-17,19.5,14.2,15.03,2.00,16.9
2018-04-18,21.7,11.6,20.77,0.00,11.4
2018-04-19,23.2,13.0,20.61,0.00,8.7
2018-04-20,22.1,13.0,20.81,0.00,13.0
2018-04-21,20.8,12.6,20.08,0.00,10.8
2018-04-22,21.9,14.1,16.61,0.50,13.1
2018-04-23,21.7,15.2,14.80,1.70,12.7
2018-04-24,22.1,15.6,15.87,0.30,14.0
2018-04-25,23.2,15.1,15.57,1.00,11.9
2018-04-26,23.8,17.0,16.11,1.90,10.1
2018-04-27,24.4,17.0,16.81,0.40,10.8
2018-04-28,24.4,17.5,15.02,0.60,8.1
2018-04-29,25.1,17.3,16.73,0.10,8.7
2018-04-30,26.2,15.6,18.54,0.00,9.0
2018-05-01,23.1,15.9,14.35,1.00,11.4
2018-05-02,22.3,17.3,13.85,1.00,13.0
2018-05-03,25.8,16.9,15.49,0.00,8.6
2018-05-04,26.6,16.2,18.33,0.00,9.2
2018-05-05,25.9,16.4,16.15,0.00,11.6
2018-05-06,22.4,15.6,16.06,0.00,14.8
2018-05-07,21.4,16.3,12.85,0.90,15.3
2018-05-08,19.4,15.4,11.51,1.50,16.6
2018-05-09,21.3,14.3,16.82,0.00,15.0
2018-05-10,23.5,15.0,16.84,0.00,10.3
2018-05-11,26.1,13.9,17.10,0.00,20.1
2018-05-12,23.1,15.7,10.25,1.20,13.5
2018-05-13,18.9,14.7,12.55,0.00,13.6
2018-05-14,20.1,14.3,12.81,0.00,16.2
2018-05-15,25.2,15.0,13.88,0.20,18.6
2018-05-16,23.5,15.8,11.57,1.40,13.5
2018-05-17,19.2,15.5,9.38,0.20,12.0
2018-05-18,25.1,14.9,13.89,0.00,16.6
2018-05-19,20.4,15.2,5.40,7.00,25.5
2018-05-20,16.1,9.5,14.95,0.00,25.6
2018-05-21,17.9,7.6,16.54,0.00,8.4
2018-05-22,20.4,8.1,16.72,0.00,6.5
2018-05-23,18.5,10.3,13.09,0.00,13.3
2018-05-24,19.4,12.4,13.85,0.00,14.1
2018-05-25,18.2,13.4,11.09,3.10,11.4
2018-05-26,19.2,13.7,12.82,1.50,13.0
2018-05-27,20.5,13.3,14.54,0.00,11.9
2018-05-28,20.1,11.4,16.07,0.00,11.9
2018-05-29,21.0,10.8,16.00,0.00,9.8
2018-05-30,21.2,12.1,15.89,0.00,8.4
2018-05-31,22.5,11.0,15.15,0.00,10.1
2018-06-01,23.6,11.6,15.31,0.00,16.3
2018-06-02,25.3,14.3,13.58,2.20,15.5
2018-06-03,16.5,12.1,3.81,6.40,17.4
2018-06-04,15.5,11.9,4.91,2.00,16.3
2018-06-05,17.5,13.3,4.51,6.10,11.8
2018-06-06,18.4,13.4,7.47,2.00,13.3
2018-06-07,19.9,13.3,5.63,20.70,17.7
2018-06-08,17.8,11.2,10.66,0.40,13.6
2018-06-09,21.3,11.0,12.92,0.00,8.3
2018-06-10,24.1,13.1,9.95,0.00,11.7
2018-06-11,25.9,15.6,13.65,0.00,17.0
2018-06-12,26.2,18.0,12.71,0.00,18.1
2018-06-13,23.5,16.8,9.39,23.80,17.6
2018-06-14,16.7,12.0,3.39,3.40,16.3
2018-06-15,14.6,11.7,4.67,2.00,12.7
2018-06-16,13.3,12.1,3.51,2.60,16.3
2018-06-17,16.5,12.0,6.32,0.30,13.0
2018-06-18,17.1,12.5,7.36,1.20,10.4
2018-06-19,19.4,13.4,10.20,0.00,12.6
2018-06-20,22.0,12.2,13.73,0.00,8.0
2018-06-21,23.0,11.4,14.40,0.00,13.5
2018-06-22,22.4,12.0,13.81,0.00,7.2
2018-06-23,24.2,13.3,13.83,0.00,9.6
2018-06-24,24.1,15.3,11.91,0.00,10.8
2018-06-25,24.8,13.6,13.71,0.00,15.7
2018-06-26,24.1,14.4,12.73,0.00,13.2
2018-06-27,21.4,13.6,11.64,0.30,11.0
2018-06-28,23.4,14.9,11.43,0.00,7.4
2018-06-29,22.8,13.4,13.91,0.00,9.3
2018-06-30,23.8,13.2,14.46,0.00,11.2
2018-07-01,21.4,14.0,11.69,0.10,6.9
2018-07-02,25.0,12.5,15.07,0.00,12.1
2018-07-03,21.5,13.5,11.42,0.40,16.5
2018-07-04,18.4,13.4,8.74,0.10,11.5
2018-07-05,24.4,13.4,14.07,0.00,5.4
2018-07-06,23.4,14.4,13.07,0.00,9.2
2018-07-07,23.9,14.1,14.19,0.00,13.5
2018-07-08,24.1,13.5,14.79,0.00,15.0
2018-07-09,18.7,11.7,9.14,4.70,10.7
2018-07-10,12.0,8.2,8.52,2.00,15.5
2018-07-11,12.3,8.0,8.49,0.50,13.5
2018-07-12,14.9,8.5,13.56,0.00,8.9
2018-07-13,18.8,8.6,10.51,0.00,6.8
2018-07-14,22.6,10.6,15.02,0.00,6.9
2018-07-15,25.2,10.3,15.84,0.00,9.0
2018-07-16,25.6,10.8,15.74,0.00,10.2
2018-07-17,21.8,13.0,15.30,0.00,9.9
2018-07-18,24.3,11.7,15.02,0.00,9.7
2018-07-19,25.1,13.4,15.98,0.00,12.4
2018-07-20,26.9,13.1,16.20,0.00,18.7
2018-07-21,23.2,13.7,14.18,0.00,16.9
2018-07-22,18.0,13.3,8.68,0.00,15.3
2018-07-23,21.4,13.9,13.06,0.00,9.8
2018-07-24,18.2,12.9,10.29,0.40,15.9
2018-07-25,18.9,13.5,10.16,1.00,11.3
2018-07-26,22.0,13.5,14.45,0.00,10.2
2018-07-27,23.7,11.7,16.12,0.00,7.7
2018-07-28,25.1,12.3,16.62,0.00,10.1
2018-07-29,27.1,14.7,15.33,0.00,19.1
2018-07-30,20.8,13.0,12.00,2.70,13.7
2018-07-31,17.2,11.9,8.52,11.20,15.3
2018-08-01,13.3,11.0,6.20,7.50,15.3
2018-08-02,16.0,11.4,7.38,2.20,12.4
2018-08-03,15.5,13.1,1.61,35.30,14.2
2018-08-04,19.8,11.2,10.86,1.00,10.2
2018-08-05,18.2,12.6,6.08,5.30,10.4
2018-08-06,14.0,11.7,3.48,10.70,6.3
2018-08-07,15.9,10.6,9.68,0.00,12.5
2018-08-08,22.2,12.5,13.98,0.20,11.0
2018-08-09,23.2,14.6,14.62,0.50,24.4
